id,name,followers,genres,popularity,related_artists
7JwNWaTv4y9WNJCihQFHpv,alayna,55478,"['alternative r&b', 'chill r&b', 'indie electropop', 'indie r&b']",41,"[{'id': '0ZBpfuCEGp57xCqdvrQU7m', 'name': 'BLAISE MOORE', 'followers': 27145, 'genres': ['canadian contemporary r&b', 'indie electropop'], 'popularity': 27}, {'id': '4dw1gYD42SHeDoxl7SKDhS', 'name': 'Nakala', 'followers': 38284, 'genres': ['alternative r&b', 'chill r&b', 'indie r&b', 'uk contemporary r&b'], 'popularity': 36}, {'id': '2EcDZA7LVlXzUhOqYzhNGK', 'name': 'Rendezvous At Two', 'followers': 52909, 'genres': ['bedroom soul'], 'popularity': 43}, {'id': '0kXDB5aeESWj5BD9TCLkMu', 'name': 'Alextbh', 'followers': 80950, 'genres': ['alternative r&b', 'chill r&b'], 'popularity': 41}, {'id': '4k3yrCOPB5wp2ne8R9MQoM', 'name': 'Janine', 'followers': 283447, 'genres': ['alternative r&b', 'chill r&b', 'nz pop', 'pop', 'pop r&b', 'r&b'], 'popularity': 54}, {'id': '5aNJpeK3hUdPY9orfExdOF', 'name': 'Ayelle', 'followers': 28947, 'genres': ['alternative r&b', 'chill r&b', 'indie electropop', 'vapor soul'], 'popularity': 47}, {'id': '7JBZN2pehWRUu3fX11lP2y', 'name': 'R.LUM.R', 'followers': 113185, 'genres': ['alternative r&b'], 'popularity': 36}, {'id': '6hfwwpXqZPRC9CsKI7qtv1', 'name': 'Alina Baraz', 'followers': 1119055, 'genres': ['alternative r&b', 'electropop', 'etherpop', 'pop', 'r&b'], 'popularity': 64}, {'id': '30DhU7BDmF4PH0JVhu8ZRg', 'name': 'Sabrina Claudio', 'followers': 1368407, 'genres': ['alternative r&b', 'pop', 'r&b'], 'popularity': 63}, {'id': '0QitJHI0ZwMa5F9TR6EYSl', 'name': 'Sylo', 'followers': 35558, 'genres': ['alternative r&b', 'canadian contemporary r&b', 'chill r&b', 'indie r&b'], 'popularity': 43}, {'id': '1fQWUHoSWhlrc9rmHi2xnE', 'name': 'Nbdy', 'followers': 71681, 'genres': ['alternative r&b', 'chill r&b', 'indie r&b', 'pop r&b', 'r&b', 'trap soul'], 'popularity': 45}, {'id': '1mKtlPrXjWK6oIdk9cSOjs', 'name': 'Asiahn', 'followers': 181668, 'genres': ['alternative r&b', 'chill r&b', 'indie r&b', 'pop r&b', 'r&b'], 'popularity': 44}, {'id': '3UjPnt2nRmw10N58bBeNOg', 'name': 'Xavier Omär', 'followers': 336535, 'genres': ['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'r&b', 'trap soul'], 'popularity': 53}, {'id': '6cPaKxbdmfSTmt1wKh4GcX', 'name': 'Colette Lush', 'followers': 25586, 'genres': ['alternative r&b', 'chill r&b', 'indie r&b'], 'popularity': 45}, {'id': '7oJtghmTMHdQ49zN8uLSob', 'name': 'Harrison Brome', 'followers': 26999, 'genres': ['canadian contemporary r&b', 'vancouver indie', 'vapor soul'], 'popularity': 43}, {'id': '2sphpXGg1u97VSzbm5gR2P', 'name': 'JOY.', 'followers': 45662, 'genres': ['australian electropop', 'australian pop', 'vapor soul'], 'popularity': 47}, {'id': '6tUJpYN2aYiXbzAcg0pIOo', 'name': 'Sinéad Harnett', 'followers': 416388, 'genres': ['alternative r&b', 'chill r&b', 'dance pop', 'gauze pop', 'indie r&b', 'indie soul', 'pop', 'r&b', 'uk contemporary r&b'], 'popularity': 59}, {'id': '56tbeL5xhBPxby544GuK3E', 'name': 'Kevin Garrett', 'followers': 126662, 'genres': ['alternative r&b', 'nyc pop', 'pittsburgh indie'], 'popularity': 50}, {'id': '68tR0TsEKX89ID4fyBMgch', 'name': 'James Vickery', 'followers': 91046, 'genres': ['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b'], 'popularity': 50}, {'id': '1XC87A3NVlw6xDW1kIB5FN', 'name': 'Jess Connelly', 'followers': 41578, 'genres': ['chill r&b', 'pinoy indie', 'pinoy trap', 'tagalog rap'], 'popularity': 40}]"
0ZBpfuCEGp57xCqdvrQU7m,BLAISE MOORE,27145,"['canadian contemporary r&b', 'indie electropop']",27,
4dw1gYD42SHeDoxl7SKDhS,Nakala,38284,"['alternative r&b', 'chill r&b', 'indie r&b', 'uk contemporary r&b']",36,
2EcDZA7LVlXzUhOqYzhNGK,Rendezvous At Two,52909,['bedroom soul'],43,
0kXDB5aeESWj5BD9TCLkMu,Alextbh,80950,"['alternative r&b', 'chill r&b']",41,
4k3yrCOPB5wp2ne8R9MQoM,Janine,283447,"['alternative r&b', 'chill r&b', 'nz pop', 'pop', 'pop r&b', 'r&b']",54,
5aNJpeK3hUdPY9orfExdOF,Ayelle,28947,"['alternative r&b', 'chill r&b', 'indie electropop', 'vapor soul']",47,
7JBZN2pehWRUu3fX11lP2y,R.LUM.R,113185,['alternative r&b'],36,
6hfwwpXqZPRC9CsKI7qtv1,Alina Baraz,1119055,"['alternative r&b', 'electropop', 'etherpop', 'pop', 'r&b']",64,
30DhU7BDmF4PH0JVhu8ZRg,Sabrina Claudio,1368407,"['alternative r&b', 'pop', 'r&b']",63,
