id,name,neighbours,out_degree,genres
6rrwIOOzyvn76SDbkxjIjS,Cole Porter,"['5cBHm2CXrbncYIDzrxF4Vi', '7j8I1aIBA9Z9bMy7mTwWKk', '5v8bwWRbu7AI3YFhzoM6Ha', '2mflSlnegn3rBmzsh08OcN', '4r6DXcqtllstKwEx3ndKMj', '197mLk2Z62k4tvGxDL1pOa', '4VCyL3xDf8AYZUQRtEF7bp', '4BtDAwCZhR6nPrJtbVgQNX', '73xrrv4ZrlpLi1q0Q34wiK', '1IRFfdGI95F5UTMST4udG3', '5SguMzNsojVk03s64Ggzad', '5bOsFzuJ6QZMr86ezC4oXY', '5ZGDxHhju6eE8ja4IyGe87', '1GdTErb29TNkiEGWrNGAeH', '49rIehT663IKJuA3c16OkI', '5wam12nGWDBIrLDV78TNSF', '0LyTHMstvqKiSoqdnnjqix', '2pDFdLHKOmzKiNDzkz7p8L', '4WoGga7UeRcmjD4ufif4nG', '5u5O35ppRJaOpOrU1CeKEW']",20,['tin pan alley']
5FxVAiCRSETyMMPV8MDaHY,Lorez Alexandria,"['7yNele4jnVhZJ2GE7Kg25T', '6OBKNqNkRe1Z5VA1TBvMuH', '3NSAbrtudtKqp7j0C4bqxQ', '6HB1MchEEMg40EisSJuenZ', '2oJWxzbOW9q6pTekL8JPGx', '53rc6pkiasAEVxO1VPpVOy', '1zmrmtMHh44pQ9WrBVEe80', '5T7u5bYO62WTYOk5RBZwjo', '5O996HwuG2b83Wa7obBtgE', '4JHlHSUko0ivu6fXYT8J2q', '0YmFjtGsr6KUo2XJOR9RSu', '2CJx2Ijs1UBPmFE2LhhbZM', '53zwWZL3vLQ7fVfKrhrzaK', '0x9L9ChXVAf3hFOb0CbRmd', '2XThtYxaIaPS5o9soX7kAu', '7D51E97yRZ8Su45PW9zbzP', '0A9p7WNA1VwxVyrjx92Z9F', '6aSWZH2HiBFSJ28gv5JG7g', '6XkdTGi7WBfPQ3ebCu02Zt', '3EYSKfrP35BZwqsMiGU3Gf']",20,"['contemporary vocal jazz', 'vocal jazz']"
6PyGlGbMoNqkofF14K4BWb,Nelson Riddle,"['5JBgFFso1bckckJZUBw03K', '4ktfAENbpoxfR7STEtKBM6', '45Z2ShPqr2p9ZgfkYhZUgq', '1kiuYnpzdoWeSpdHObdhQ6', '35pV6EUbherudlvAftoueR', '2F0kPpQ5mtta1ORIyO2xex', '6X3GblgxLrJE4xKW1L69iv', '17rSwcIT9qu1OybU1lReJB', '3D9J9nPNW1cBktx5apJq4V', '5iOeOcW6UbBDZJblg2iQUa', '5YRqxl4KfzKkFBMu408yv6', '2BFsBQuaspauXaT95x12Zw', '5UQlFN6A5bUNcuGnG4d9aR', '0RApVWsazsKH8QZsLtffn9', '0iEZsPAuFqcd3MzuyxMIOc', '0YJh7LL1SsLgWfSXjIFbfg', '4UAjW7ABQfMm5F88xCtQln', '3ssbsrQezgsvYjUsrydL5k', '3bWuJAAUsvSiavkQHpOlLl', '0rIZ0gievjkT1Nsdnp2csQ']",20,"['adult standards', 'jazz blues', 'lounge', 'swing', 'vocal jazz']"
1Sc9ykJB728MAZab1Ocwy8,Sonny Clark,"['2fMvylhnE23sAlyePKK8er', '65uKPt40QH8dMBLuoJHPVY', '1lB7KbOr9xdPK1CuasxmeA', '5cbutZUQE7SUCA6MsEMbBv', '4JgvfZeCWGzEPGR6yVaXuX', '0fTHKjepK5HWOrb2rkS5Em', '3NUsiT2JSyaWAnWaXxDzhQ', '0xRqtLGIVSzXM9yg2wFMLC', '52cM6vrM4MJ8g4H7Ibo5fZ', '570vCzcespB48HIQyTbDO6', '5ZATfKurLqflrBhv2FLht5', '2nQKUeZeleLGNsJj6WLUXN', '413WfGS7CgAHEJD4DtAo3e', '5ncBRFyyylFng7kQJaRXN0', '0M1UOBJZ9tcKJbrbnVlHZG', '420BtT2Zyze7Eb9zqHcliW', '4L9xEztn5PKQIO5WnI5W3u', '35iymrFS4VnsKn35ebHKX9', '4PNIQCDBeVCSSqKUhvkP8Y', '38C3okxv3fyyOIQUVPCdGX']",20,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz piano', 'stride']"
3CEdEF8RsuL3hAFJaujvr0,Etta Jones,"['2JfVCMa3FlvQRlLT5uH9zb', '6HB1MchEEMg40EisSJuenZ', '7yNele4jnVhZJ2GE7Kg25T', '0x9L9ChXVAf3hFOb0CbRmd', '4JHlHSUko0ivu6fXYT8J2q', '2oJWxzbOW9q6pTekL8JPGx', '19GI8I4UhSpBl8Y9XpKyT4', '1bgyxtWjZwA5PQlDsvs9b8', '5QGnprJtpZmk3OiDqspPlB', '5bWApG9Vdshhd1J50UnNf6', '32LHRiof0sa4taYew9i3Fa', '7D51E97yRZ8Su45PW9zbzP', '0YmFjtGsr6KUo2XJOR9RSu', '7qVvIFc9DktkAc0HKzRhNo', '3qUMmh5biaB5hqpF4LqS3m', '0A9p7WNA1VwxVyrjx92Z9F', '118jMO6hdUQeoDOv0XiLIs', '6QffDdWdkrkfdqfyfuqceC', '6OBKNqNkRe1Z5VA1TBvMuH', '0LyTHMstvqKiSoqdnnjqix']",20,"['adult standards', 'contemporary vocal jazz', 'jazz', 'lounge', 'soul', 'swing', 'vocal jazz']"
6HB1MchEEMg40EisSJuenZ,Betty Carter,"['0A9p7WNA1VwxVyrjx92Z9F', '7yNele4jnVhZJ2GE7Kg25T', '0x9L9ChXVAf3hFOb0CbRmd', '4JHlHSUko0ivu6fXYT8J2q', '2oJWxzbOW9q6pTekL8JPGx', '3CEdEF8RsuL3hAFJaujvr0', '5T7u5bYO62WTYOk5RBZwjo', '6OBKNqNkRe1Z5VA1TBvMuH', '2JfVCMa3FlvQRlLT5uH9zb', '7D51E97yRZ8Su45PW9zbzP', '7qVvIFc9DktkAc0HKzRhNo', '5QGnprJtpZmk3OiDqspPlB', '0YmFjtGsr6KUo2XJOR9RSu', '5FxVAiCRSETyMMPV8MDaHY', '53zwWZL3vLQ7fVfKrhrzaK', '53rc6pkiasAEVxO1VPpVOy', '6htazaFMy8zs0f3sMtM2Pt', '5bWApG9Vdshhd1J50UnNf6', '6QffDdWdkrkfdqfyfuqceC', '118jMO6hdUQeoDOv0XiLIs']",20,"['adult standards', 'jazz', 'lounge', 'vocal jazz']"
0iOVhN3tnSvgDbcg25JoJb,Etta James,"['4nts0oxMT67lVUoi5Kjxrb', '01Z8Z9K54zewyP04ZfGLSv', '4VnomLtKTm9Ahe1tZfmZju', '1ZikppG9dPedbIgMfnfx8k', '6hnWRPzGGKiapVX1UCdEAC', '60df5JBRRPcnSpsIMxxwQm', '0N5PyKJzS3M1XNlaCL7bbE', '32LHRiof0sa4taYew9i3Fa', '7xGGqA85UIWX1GoTVM4itC', '1eYhYunlNJlDoQhtYBvPsi', '5dM7jA0PXh0Ozz8LT2YOCB', '0WZ7IgzdjPvwFdjDjjuZm7', '7nwUJBm0HE4ZxD3f5cy5ok', '3CEdEF8RsuL3hAFJaujvr0', '4EYVgfZJ8wKXWmIvCx3gOY', '7G1GBhoKtEPnP86X2PvEYO', '3qUMmh5biaB5hqpF4LqS3m', '2BVYdY4PyfCF9z4NrkhEB2', '2JfVCMa3FlvQRlLT5uH9zb', '1bgyxtWjZwA5PQlDsvs9b8']",20,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
68l2i6GeNtwQlhKS59u5bu,Paul Desmond,"['6l40OFJhuTbHQ9V12evc9K', '7wBFjZMHsC6nfV0HOSd6uI', '4YNvbaOaqp5pzC5US5t48k', '34W7ZCX0LZeJd8q6boKGOk', '1pwr5rTWLVfqhvHfB7Reap', '3NUsiT2JSyaWAnWaXxDzhQ', '3GpMtIOC5ZLvMBMI7IxPvA', '4L9xEztn5PKQIO5WnI5W3u', '6nLkWu5DSXItXcB6q2ISTO', '05E3NBxNMdnrPtxF9oraJm', '3kUKwTJdH8FuWzF8p6Dg9E', '3VEG6gxFIMfl4Cdog26avS', '35iymrFS4VnsKn35ebHKX9', '4iRZAbYvBqnxrbs6K25aJ7', '217b0uqAzsOOhGcnoANZqj', '1VEzN9lxvG6KPR3QQGsebR', '78NDaMzmcDKjt7mkXs7AuG', '338mC0yGyX0C9of8QMJ5hK', '03YhcM6fxypfwckPCQV8pQ', '7lRFrrINQTY35g8hq0kXY5']",20,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'vocal jazz']"
67PZTxaHKMZBFRUh8wIzCy,John Coltrane Quartet,"['2nQKUeZeleLGNsJj6WLUXN', '1VEzN9lxvG6KPR3QQGsebR', '3NUsiT2JSyaWAnWaXxDzhQ', '0ZqhrTXYPA9DZR527ZnFdO', '0fTHKjepK5HWOrb2rkS5Em', '3BG0nwVh3Gc7cuT4XdsLtt', '71Ur25Abq58vksqJINpGdx', '4Ww5mwS7BWYjoZTUIrMHfC', '2fMvylhnE23sAlyePKK8er', '2hGh5VOeeqimQFxqXvfCUf', '1lB7KbOr9xdPK1CuasxmeA', '4sQVPSDmfqIxG9W8o2EROX', '2o346NHhUAlVxl5uXBVxK7', '5v74mT11KGJqadf9sLw4dA', '2EsmKkHsXK0WMNGOtIhbxr', '5cbutZUQE7SUCA6MsEMbBv', '3VEG6gxFIMfl4Cdog26avS', '7wBFjZMHsC6nfV0HOSd6uI', '5ZATfKurLqflrBhv2FLht5', '4YNvbaOaqp5pzC5US5t48k']",20,"['bebop', 'free jazz', 'jazz', 'jazz quartet', 'jazz saxophone']"
2mlKlEmxOO3vb6DqopDh4H,Sonny Rollins Quartet,"['5GBe2GMfPm3IFagD5XuKKs', '1VEzN9lxvG6KPR3QQGsebR', '3NUsiT2JSyaWAnWaXxDzhQ', '1lB7KbOr9xdPK1CuasxmeA', '52cM6vrM4MJ8g4H7Ibo5fZ', '217b0uqAzsOOhGcnoANZqj', '4JgvfZeCWGzEPGR6yVaXuX', '2o346NHhUAlVxl5uXBVxK7', '3BG0nwVh3Gc7cuT4XdsLtt', '5cbutZUQE7SUCA6MsEMbBv', '4PNIQCDBeVCSSqKUhvkP8Y', '56koGOp6EpWHZYOfuTTxRB', '3hZ5sdhYTvgrmXIwtVwqmS', '2fMvylhnE23sAlyePKK8er', '0M1UOBJZ9tcKJbrbnVlHZG', '65uKPt40QH8dMBLuoJHPVY', '2nQKUeZeleLGNsJj6WLUXN', '0JsWkl2GlMvsvCQzYUQQ97', '1Sc9ykJB728MAZab1Ocwy8', '78NDaMzmcDKjt7mkXs7AuG']",20,"['bebop', 'jazz quartet']"
