id,name,neighbours,out_degree,genres
3Isy6kedDrgPYoTS1dazA9,Sean Paul,"['1pmixngtBJleMrGUG5o8DE', '4L3GTE04bW5N7azA9QPhjA', '6NOvBZrkd83MSD51xkq4on', '5EvFsr3kj42KNv97ZEnqij', '2JX4h8xm0hNxCB0aNBWzyi', '4RfTXjK9aiiIKDaKUHpL57', '3nwYsifpwrKmCIpw4i0HDW', '0wEvWMQRqaXcgnrZv6KtyL', '0eezS9KmhdjGN436RdTIXu', '0af5VM6xubf8EXKvoG35x6', '5sK8BsvyDl4TFA6KaBf8or', '2NUz5P42WqkxilbI8ocN76', '3kc5AFnL1TQQdNaMdSW2UO', '06JH3wcXkJg7eoxZVMO1UX', '6MF9fzBmfXghAz953czmBC', '5Y5TRrQiqgUO4S36tzjIRZ', '4d3yvTptO48nOYTPBcPFZC', '4wLAjfeqAsV66AocWNcowA', '085pc2PYOi8bGKj0PNjekA', '374sWpAJsbZckf98df2jJJ']",20,"['dance pop', 'dancehall', 'pop', 'pop rap']"
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,"['6wPhSqRtPu1UhRCDX5yaDJ', '1vkJFCwstOoJO7yQ4lTtLK', '3r17AfJCCUqC9Lf0OAc73G', '2jw70GZXlAI8QzWeY2bgRc', '7o95ZoZt5ZYn31e9z1Hc0a', '0cQbJU1aAzvbEmTuljWLlF', '4hqDqHtBlgxXpLXVYf7c8L', '26dSoYclwsYLMAKD3tpOr4', '40xbWSB4JPdOkRyuTDy1oP', '4vRSocKbGh7PsQrYRDVMEF', '7rZNSLWMjTbwdLNskFbzFf', '2S9W9aSAd7e5mp8WqWxN2h', '1l7ZsJRRS8wlW3WfJfPfNS', '12EtLdLfJ41vUOoVzPZIUy', '0uq5PttqEjj3IH1bzwcrXF', '2tFN9ubMXEhdAQvdQxcsma', '4RVnAU35WRWra6OZ3CbbMA', '7gRhy3MIPHQo5CXYfWaw9I', '0IF46mUS8NXjgHabxk2MCM', '1dIdBZaaHRW2bDTkHNfWln']",20,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']"
1OFOShsIbhy1l5x73yuVyB,Shenseea,"['2yHxc12dEUiLXNeqUadxBh', '7qPISKHhhKDLZTmYcX7bWd', '62DmErcU7dqZbJaDqwsqzR', '5mYWkDD4b1eM4ZjFq5axxs', '0af5VM6xubf8EXKvoG35x6', '4RfTXjK9aiiIKDaKUHpL57', '0wEvWMQRqaXcgnrZv6KtyL', '0eezS9KmhdjGN436RdTIXu', '3nwYsifpwrKmCIpw4i0HDW', '2Gzy8TYJ5xrEMDyUjZuDsK', '0mkixmQkcUeE6egKHW4ojh', '351x2S7CduShTNvtzgkMl7', '5sK8BsvyDl4TFA6KaBf8or', '2FgooFaZzZy6PUyJImk0kG', '2NUz5P42WqkxilbI8ocN76', '4GpVRyxDYccJrbQkO3KWws', '28UDeKu2FPrU0T7dpUiSGY', '4J51t1ZO7ed5qgsXmz9VXM', '2LIAgeQ5NZurwixfoG3CWZ', '5G8IlDlnPQPN4YmtJ6NDxK']",20,"['dancehall', 'dancehall queen', 'pop rap']"
7bvcQXJHkFiN1ppIN3q4fi,Joss Stone,"['37NqXwtb6nIEqRt4EJSoIO', '4ylR3zwA0zaapAu94fktwa', '4iXrcntPCevDmneGb6mEJK', '29WzbAQtDnBJF09es0uddn', '5sennRot4Ls82wfspEQuf2', '0e2iwkqrfIN9jrOSbnAYq2', '0CrCKxXekxMpkYfMEf8mca', '1c4rxrxy8eDLvMVL1DTiBe', '6OkX55UMCw4Hgc5HM4zr7K', '1wTUsxee6HtnB6Z6QiUCub', '2hWr3AjjKOCVmWcwvuT4uM', '73ZPfpfg1LBVvDEArK4l5B', '3LpLGlgRS1IKPPwElnpW35', '5zzrJD2jXrE9dZ1AklRFcL', '30AzZL0valZQ62OIQiFWvk', '4O2YL4ygn6eTBC0w1hyWUM', '7Gf3LSwa5hh8Cjo60WhVjC', '3K0BfjMh2dS8WITuiMuGGW', '35GL8Cu2GKTcHzKGi75xl5', '7rftfGIYEeZ79sLb58ZBDi']",20,"['british soul', 'neo soul']"
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"['07YZf4WDAMNwqr4jfgOZ8y', '6S0dmVVn4udvppDhZIWxCr', '2gsggkzM5R49q6jpPvazou', '21E3waRsmPlU7jZsS13rcj', '3whuHq0yGx60atvA2RCVRW', '31TPClRtHm23RisEBtV3X7', '6VuMaDnrHyPL1p4EHjYLi7', '4Rxn7Im3LGfyRkY2FlHhWi', '4AK6F7OLvEQ5QYCBNiQWHq', '4phGZZrJZRo4ElhRtViYdl', '6jJ0s89eD6GaHleKKya26X', '3DiDSECUqqY1AuBP8qtaIa', '04gDigrS5kc9YWfZHwBETP', '3AQRLZ9PuTAozP28Skbq8V', '4GvEc3ANtPPjt1ZJllr5Zl', '6JL8zeS1NmiOftqZTRgdTz', '5ZsFI1h6hIdQRw2ti0hz81', '23zg3TcAtWQy7J6upgbUnj', '20wkVLutqVOYrc0kxFs7rA', '3r17AfJCCUqC9Lf0OAc73G']",20,"['dance pop', 'pop']"
1qwdTaVUdjYJLLoxtFmsqr,The Movement,"['0q9lPhJHW5R9J7RXIJRbTk', '2OpHxx1SArSMlBrIMM0aV9', '1GO9LmsSPXbqZjWkfViwIl', '4n8SmonZJvi6WjBouKcrpD', '6py4uFIC7T6RdrZnH6hFYJ', '3Il8w8T0de4sdogo2EQEVJ', '3wj8loicsOQVR5ACMneTG2', '3zAxGWQqKmDnAsCY57ihKR', '4CfFkWbFTygKAWZmSJML3D', '34C8BychSPwkYdYDmiSWa0', '0z9LAMU6nhkzkC9CBvlLcm', '2WjvvwAX0mdWwq3aFuUdtc', '1YK8JdPbiaMSnf4hrlBkGT', '6GkJh85o22LfD2vgL9DP6f', '5BU6jM6z1QGAMFBUFmEDRL', '7jgZFR40bWjwOrRCOZFB02', '3kXFPAfFzG0LrudmtGM6Yc', '2CimT0aCxKVuJsKPVLG0j5', '1gwTohHbTpE3qdPyDvnOEu', '6MxlVTY6PmY8Nyn16fvxtb']",20,[]
3eAOH2az3fQIfX2UAw0FfC,L.A.B.,"['4bXJYb8inT1EvC54wqCRtT', '06pkUJtvwH93XlSdc0RAOY', '5lc3ISF4CNThZEtJ2N4ZH6', '0PK0Dx3s9et0Uf4XbdFpiW', '2ERWeFslDVHB4E9pSSw845', '6GIB5jeCf3U9JJUo2of2bA', '29qTQ8hGGr8QxXbVRaC7WC', '0a2RyaJGZwNek1n0fpNPVp', '5XwNJv9YtvuJQ7ZaXQqxIF', '786hGmAEXHUeCdKPAj3JIa', '1caoBfXJrbKCwIaTzGkyHn', '7fRw4ouudxR1jHgyrTIKuY', '0qmDXiQHxN2ErIEJ0ShYoD', '4CeW2xghttvllIwy4AqNSg', '32GMj177nVLZPp3lqVrCXp', '1n1LwioOKovaGd1aqATZ6S', '6XBe77lygQAmgBFb6MGzpD', '7x8vmwjC7nkCp0RDyVF0zv', '7Fd1nidunOjfHBD87iU1ZI', '5B3LZw3NTEg074irKeEAom']",20,['nz reggae']
6ZNxsFRXMi2yGGgOtVZsrr,Amber of Dirty Projectors,"['5fMUXHkw8R8eOP2RNVYEZX', '738wLrAtLtCtFOLvQBXOXp', '5he5w2lnU9x7JFhnwcekXX', '7muzHifhMdnfN1xncRLOqk', '2dQgOfBP52UwjegY8FwJAY']",5,[]
1gWjcmBsveEYMxOZ0VRi32,Koffee,"['4ryoUS0W8qXokfMxrlJt6O', '0uAUrmEQbwcDFzg0v7VicO', '2oZcMYiKpjaA2Et5mU3RPP', '10p1CDVyRIkR2ybAu7SbVH', '4RfTXjK9aiiIKDaKUHpL57', '7qPISKHhhKDLZTmYcX7bWd', '1LKo6ZA3RNvKtLa6zDu32S', '7BIkk865pwBrSZetA8Izic', '2Gzy8TYJ5xrEMDyUjZuDsK', '4HIgMgldxGG0v8nSDWJrnh', '5nSAh3wlH7VaqpnkiMjzDs', '62DmErcU7dqZbJaDqwsqzR', '4frHO7KPcfMjhnVdIMJ98c', '351x2S7CduShTNvtzgkMl7', '28UDeKu2FPrU0T7dpUiSGY', '3nwYsifpwrKmCIpw4i0HDW', '7BGR8y1VZAWK2oR4zD9COr', '0eezS9KmhdjGN436RdTIXu', '5mYWkDD4b1eM4ZjFq5axxs', '6w2IGYYbcQENdjdjU2IFo4']",20,"['dancehall', 'dancehall queen', 'jamaican dancehall', 'modern reggae']"
71x0OO2toFjXrMRcufL9tv,Poupie,"['5LYSuLVsB6OVxkDY107AyQ', '1ywkNtrO3WGuwaehqxyjAO', '64s6yr2vWCKyr5Ldwaslwk', '2WSFLb1izcqFnU9KakhCnU', '1QsdzIKkTT5gDFj8GB1cIX', '55SWeOUhlJHrkcuih5J2pQ', '7hChnO6TKesBmtbTFFjYbP', '7hhIUoiI41fPdE0hEcpr2U', '21KPPMcnfzFYt3yseua9Nl', '5iu7PzNW2d8xKOE8IsXgef', '4Rc4ZjE8dK1b794tfc3BIt', '5k7czLtvpvADY4FkRnTS4p', '7xuc5o2ysVzV0UDiGordzO', '6AiHXHMryCtGFBEnjB17aA', '6Xc0KDqzw5u6EQLgdfeoKO', '5f6nz3iqzrfiUfKOIKvLvd', '2Ksaxtwx8hMgjUkzIoGDXE', '2TM7WyJwjfD5wKyX9OtIWJ', '73BDzWqbf1grbgQ8xYn2ou', '2BbWg6tgQK7hINJ0EDzk4O']",20,"['pop rap', 'reggae fusion']"
