id,name,neighbours,out_degree,genres
6GpcBKNmZDIrRzYkPJu7Wd,flora cash,"['5Smb3KB29epOb92Btsxulb', '5Ld19xtpAR80G2boTcHaVx', '7IAFAOtc9kTYNTizhLSWM6', '0z9hynUsIjf0ddI4uHqPWX', '26GHRG8x1F4AzbCKzUaIbw', '0MmnmsAuQKRFpo6vJElcaU', '0A3HlWZGV8WrCcqxKM2neg', '78CiW0UJbHspFaVuVexOK6', '3Jy7XwrGPgOEq4OxRODWbf', '02YLJJnWC7YQVixkjEBRn7', '6vUNwmljZAcn7tNtUoxG45', '1AgxgADPuRIW1wyaA4OKcB', '79hrYiudVcFyyxyJW0ipTy', '5gw5ANPCVcxU0maLiGRzzP', '77BznF1Dr1k5KyEZ6Nn3jB', '4S3VOqqGguEZu3vbJMig4t', '4qWnlmXWuGv2TtuxtIWlJX', '6AyATGg7mDgBlZ4N5uNog0', '2KjAo6wVc9d2WcxdxSArpV', '7iPH2BRBF9wKa6ljxvdext']",20,"['indie pop', 'scandipop', 'swedish indie folk']"
6zlR5ttMfMNmwf2lecU9Cc,Sam Fender,"['7DruTvBV7owt1aSAZHsU58', '22RISwgVJyZu9lpqAcv1F5', '1ShwUjKIwQRaUJij7jgRhp', '5YA1c6yVkPnflTLMfOgjzc', '4fgXfJCQnK6c44u4KzAtQP', '7jZycSvTyx0W9poD4PjEIG', '45FqwUG4hTT6d39r2HUsUe', '52pNByiBWx6SVMMqqcCA74', '4hfrzKkUsrb3Cz209SKxbo', '7cpCnhhBIU1gA7EhTFApN1', '4AzAfQNuAyKOFG4DZMsdAo', '7243txmysJ4KbRmH8UAMKO', '6hl5k4gLl1p3sjhHcb57t2', '04JIxSs2P0iteVWtaskfeh', '5SHxzwjek1Pipl1Yk11UHv', '6lyMYewq2SuTFIXgiv7OxH', '4SrofCfzlhtiKRAsMfBxV4', '1eIoJGCu3rShrRm2wfOhN8', '2xaAOVImG2O6lURwqperlD', '3btzEQD6sugImIHPMRgkwV']",20,"['modern rock', 'north east england indie']"
0MmnmsAuQKRFpo6vJElcaU,Amber Run,"['26GHRG8x1F4AzbCKzUaIbw', '4Ly0KABsxlx4fNj63zJTrF', '4qWnlmXWuGv2TtuxtIWlJX', '02YLJJnWC7YQVixkjEBRn7', '6AyATGg7mDgBlZ4N5uNog0', '7Il2FrLyoQt0JlyhJRDL1c', '6DchmKCVOKK707FCrLFFDW', '5Ld19xtpAR80G2boTcHaVx', '77BznF1Dr1k5KyEZ6Nn3jB', '3GKdEPHUSBp3iNT4SG2Med', '5pdzKTGQAcRcxDOfN4mXSc', '5cIc3SBFuBLVxJz58W2tU9', '56NSAhpJRoeaGi5uyUdYlI', '6GpcBKNmZDIrRzYkPJu7Wd', '15S89CUJtshT2P7WIa2M5l', '1eIoJGCu3rShrRm2wfOhN8', '09Z3wZ88af1pfyJxziESQF', '5Smb3KB29epOb92Btsxulb', '0rZp7G3gIH6WkyeXbrZnGi', '6QrQ7OrISRYIfS5mtacaw2']",20,['modern rock']
37w38cCSGgKLdayTRjna4W,Mazzy Star,"['38u18VoGaIwVeSyVoA0eU5', '4jSYHcSo85heWskYvAULio', '5Wabl1lPdNOeIn0SQ5A1mp', '3ysp8GwsheDcBxP9q65lBg', '6guTJsgPymDUVfqDJyz5UG', '72X6FHxaShda0XeQw3vbeF', '4nlqDmbzFzbNITaqjJv7D7', '3G3Gdm0ZRAOxLrbyjfhii5', '0WY2ddzQUF9eh16GiqrElA', '0WtTGUjbur1R1cNzBvbsMU', '5hAhrnb0Ch4ODwWu4tsbpi', '1s5mUpjVtK0XAScRqlErSE', '2GATzeg62cr6sH29wSOVWe', '4rjlerN21ygkIhmUv55irs', '5q2ehaRqAFmM6tLl4vaVwP', '1xgFexIwrf2QjbU0buCNnp', '5NtMqQLCzdVvL7F8vFp3zM', '5OK8j1JnhoBlivN32G7yOO', '2feOOr1Yjovo67byuxvjZv', '2ApaG60P4r0yhBoDCGD8YG']",20,"['alternative rock', 'art pop', 'dream pop', 'melancholia', 'shoegaze', 'slowcore']"
4j56EQDQu5XnL7R3E9iFJT,Young the Giant,"['3kVUvbeRdcrqQ3oHk5hPdx', '75dQReiBOHN37fQgWQrIAJ', '6VDdCwrBM4qQaGxoAyxyJC', '6DIS6PRrLS3wbnZsf7vYic', '4AcHt3JxKy59IX7JNNlZn4', '7gjAu1qr5C2grXeQFFOGeh', '42vg2T0Xg9yPaAgogJzoQH', '0RpddSzUHfncUWNJXKOsjy', '3ViZST9PgFoieuOHY2GZMp', '6FIrstf3kHEg3zBOyLpvxD', '5DK8eK7fjvRsziXzyr3sFA', '0YhUSm86okLWldQVwJkLlP', '1dWEYMPtNmvSVaDNLgB6NV', '1btWGBz4Uu1HozTwb2Lm8A', '4dwdTW1Lfiq0cM8nBAqIIz', '6AGUQK1EWK6nvN4pLIDQDQ', '1UfzhwcOR4yfX7yHTPfC9m', '7gP3bB2nilZXLfPHJhMdvc', '3DFoVPonoAAt4EZ1FEI8ue', '3RbyaF3Pq6iDUKNp04AIcU']",20,"['modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']"
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,"['3IstlZaHyUP9SONpulb4SM', '68DWke2VjdDmA75aJX5C57', '7vSY9HEreOqb1Llar3UC38', '5ObBtv5VunwwhQaXXnUrsM', '7EWU4FhUJM1sZQgQKdENeT', '6Ad91Jof8Niiw0lGLLi3NW', '6ASri4ePR7RlsvIQgWPJpS', '1PDE2MIJ4M6uvFJDrslazf', '3u2R8st1bb6zfBqNWceRXG', '5ghnxpW47ojtLHHyTLdxdY', '5G9kmDLg3OeUyj8KVBLzbu', '4l43uAIHyF5VzgonMKVkg7', '382aq8Pij5V2nE2JMHMoxl', '6Y64EaNqpqcZYTgs4c76gF', '4iDroUFo89Y7YBsdDTBmTD', '5Vp7LqcfAtx2U1RfIX8i7r', '5Z5jUyiNvFaqp0EVyLNf0p', '7FngGIEGgN3Iwauw1MvO4P', '1ShZZUjkbXCjhwrb18BA8I', '4Dwhb9SL7iO3L27oXvEiO7']",20,['ohio hip hop']
74XFHRwlV6OrjEM0A2NCMF,Paramore,"['6Rx1JKzBrSzoKQtmbVmBnM', '5pjCYG6hPLBO3y4swxu3dh', '6oFs3qk4VepIVFdoD4jmsy', '0vWCyXMrrvMlCcepuOJaGI', '20JZFwl6HVl6yg8a4H3ZqK', '46gyXjRIvN1NL1eCB8GBxo', '3WfJ1OtrWI7RViX9DMyEGy', '4UXqAaa6dQYAk18Lv7PEgX', '3vAaWhdBR38Q02ohXqaNHT', '7FBcuc1gsnv6Y1nwFtNRCb', '3ao3jf5d70Tf4fPh2bnXVl', '4o0pNHbyj36LPvukNqEug0', '1kNQXvepPjaPgUfeDAF2h6', '3zxKH0qp3nBCuPZCZT5Vaf', '1SImpQO0GbjRgvlwCcCtFo', '5pUmXBIQtqpvdV1HAy2xYC', '4IliztYDlfMvzQzbx50o60', '5aYyPjAsLj7UzANzdupwnS', '3N8Hy6xQnQv1F1XCiyGQqA', '09J4zbHHwNNlN2tfgJIg21']",20,"['candy pop', 'pixie', 'pop emo', 'pop punk']"
0ZxZlO7oWCSYMXhehpyMvE,COIN,"['6R664N4cEza3eORSqKSgO4', '0YhUSm86okLWldQVwJkLlP', '6lcBiGiT3dlyDMjBBtfyfS', '1jNnM5dm7dzt16IocWCvJc', '0szWPxzzE8DVEfXFRCLBUb', '2OK16hAFRHoJiFZKeZe8A8', '6Xa4nbrSTfbioA4lLShbjh', '4iiQabGKtS2RtTKpVkrVTw', '7xSEWLsywYbocdtt3xsQsU', '67Dg546QfThu4PuanvFD8y', '5rebfYbZVIhbRVcRKWVOAh', '6d4jrmreCmsenscuieJERc', '1anAI9P9iSzc9qzLv6AtHZ', '4wYk01oPJNfaEssVFL46oQ', '6wnSPJpmVKFcn1TpRl5Uli', '1btWGBz4Uu1HozTwb2Lm8A', '6ZUjdwG0NvY6MT7vvmluhV', '5ivCbtrcD5N4rD337xIb2z', '2Vvj76fff5uAw10W1sW54W', '6Bllzm0olEwqGwPujaLiuA']",20,"['indie folk', 'indie pop', 'indie rock', 'la indie', 'modern rock', 'stomp and holler']"
027TpXKGwdXP7iwbjUSpV8,The Walters,"['7wbkl3zgDZEoZer357mVIw', '4ub2v80S4RIceZRGnlhjTr', '6fC2AcsQtd9h4BWELbbire', '7BqRcZsHYYQeqMAOp7e532', '6ft7JnxMyZhp7N52qzHymY', '5CXdWANGwYYRPClH6hhC0P', '6AQEfqGPSxZX0nJVonYxi6', '2FQgnKHydnhSnRS17BSy28', '0ubGY2CcC0tvR0eE6hJaT8', '5BCnLrqpwYtufR1bDWn0hG', '4jCIAMb0zEArF3GYEYzoDk', '4evVEvE5p9WsdXQKBPmAxT', '32zeX1IoVKAGWMyy1isKUq', '0e0z6v7dIm0XM7BgQTtB0a', '77mJc3M7ZT5oOVM7gNdXim', '33LSz2nhC8pCPTb3pd5add', '3WPt7OfKDirWGEDH9kHahw', '1MIe1z4RdqLqHSJsb7EBMm', '3MATPJ9tYbcMhw5VOZrRU6', '4ftctxasGrW5Ud5Pbw6kWq']",20,['chicago indie']
6msJKphD3VXZPItnztefdH,Stateless,"['0gbJdZ0gqf7y9NnCbfV3vp', '1FWybrAwiSa0zKibdLfZZr', '18JBdXUxvLhn2T0Y3o4WqI', '1Tz1kM5vFyBpzD22fHW609', '50Gx1SNB4vH2V7peIiYD4S', '6sKLLGj7SqbP2qDBdEOoZ6', '1EJWNhiYbOyeUHbsS7Kp1P', '2nszamLjZFgu3Yx77mKxuC', '1Q776wzj2mrtXrNu3iH6nk', '6HCnsY0Rxi3cg53xreoAIm', '6hhA8TKRNryM8FNzqCqdDO', '08YvZ2qzFrDSITfHLbPKMP', '2TUFDVa7aZJ4O9U0qjrSJH', '3rNX4fCtNvNyDcLhfpA1NN', '3I0qU1hrivov2bftDy8xe1', '3Gaqw2nGyE7yM3rcRSzE3U', '6FXMGgJwohJLUSr5nVlf9X', '2TDsrZZt4XXF7iQlr5l20Z', '3aKCo8gLJfuPYtr88aWKjF', '40Ojab0UtVQFjA76qXr8Ot']",20,['british alternative rock']
