id,name,neighbours,out_degree,genres
73rPcaYEhBd0UuVZBqqyQJ,The Happy Fits,"['6wnSPJpmVKFcn1TpRl5Uli', '1MIe1z4RdqLqHSJsb7EBMm', '4OTFxPi5CtWyj1NThDe6z5', '1anAI9P9iSzc9qzLv6AtHZ', '6Bllzm0olEwqGwPujaLiuA', '2FRXiAz5Uz78LLLSwEUhLt', '5CXdWANGwYYRPClH6hhC0P', '48PAAxWdIDbA4WHkHjgsEv', '0L8jXe7QeS9oYUoXbANmX4', '5Lm1CMoa8VOCBCLZesAcvc', '7vtSUU3zpHeYJfX6BPNrJd', '6ZUjdwG0NvY6MT7vvmluhV', '1EEbOYIZFHRuGEgL39cN3s', '33NScerSaBJ9Y1YndrE5sL', '0YhUSm86okLWldQVwJkLlP', '29TCgxO6qzQx4O3pjUIMzn', '7sOR7gk6XUlGnxj3p9F54k', '6R664N4cEza3eORSqKSgO4', '458aS6ALc3QkzwfR5USt34', '2qmjAtWVjMPWHHDdWilU6a']",20,"['indie pop', 'modern folk rock', 'modern rock', 'new jersey indie']"
2garjIdgTW5i89s4Z3UT72,Andrew Garfield,"['6mXcTwoata1hkaDMbkzw32', '6RKS67sIPOW16NcGWkgdzF', '1K4JaQe0NkO2DRQJUXO7ry', '7i3os1iEWOn5UpaylRiMw5', '0t48kDWWLiHxareyz1cOm1', '3OPl8pWnz8rdYTiaNQ0eMv', '0vKWxtht5v5MoAu4DID0Ub', '3mXvO1rdMCgdOYNiWeduWG', '4okEmrM2O6CEW6en3fRWUy', '0bvwPCit9Yh0yVdLKGnXRi', '3b3GjhElzysJ0xS72u9u9k', '7abCELr0U2E5K2nPjVtWkN', '4RstfTHwF4J7ifhpXaaYjo', '6DQwC1hPrwv3JRmvxONCoZ', '0vtjXmCLNmJti4fJ5dBhxc', '5gGhRZgP9BJL9fsFdvTzeX', '0yac03Stzfyoukz2361kU7', '2JymsYVZ5c5prv9mOdPB3p', '7qDUWeBzKcDnh15yhYBf2U', '2praUrFAMThqstqmD6faQn']",20,"['hollywood', 'pop']"
6RKS67sIPOW16NcGWkgdzF,Alexandra Shipp,"['6mXcTwoata1hkaDMbkzw32', '7i3os1iEWOn5UpaylRiMw5', '0t48kDWWLiHxareyz1cOm1', '2garjIdgTW5i89s4Z3UT72', '1K4JaQe0NkO2DRQJUXO7ry', '3OPl8pWnz8rdYTiaNQ0eMv', '1Np9GsrPO7dlczjvdehBxs', '5gGhRZgP9BJL9fsFdvTzeX', '0bvwPCit9Yh0yVdLKGnXRi', '4vLVxKPowMj14Ou1NNUxuc', '0yac03Stzfyoukz2361kU7', '0vKWxtht5v5MoAu4DID0Ub', '2xBOCZLKP7FMXK2dyO5hIe', '4RstfTHwF4J7ifhpXaaYjo', '4okEmrM2O6CEW6en3fRWUy', '7ejlBSnnDMNIhEcL7MN868', '0kvp9mzfvoXvGtjSWTgrEb', '0K4yOpgMzCzZmi8sxtUIVS', '782wocBbKLROLTSPViayHH', '6BeO1KuAWBqFriL1mLHtNc']",20,"['hollywood', 'pop']"
0HthCchcL0kVLHTr113Vk1,mxmtoon,"['21TinSsF5ytwsfdyz5VSVS', '2hR4h1Cao2ueuI7Cx9c7V8', '35l9BRT7MXmM8bv2WDQiyB', '0ZUvK7zGdXLd78mQr3t1Tw', '2BL3PP6aTKJ1jqbRgfQa71', '7sOR7gk6XUlGnxj3p9F54k', '1vkWdqcabQ1swciXipkLBj', '4Uc8Dsxct0oMqx0P6i60ea', '0dn62y7ayEAxcIcMcBWXIE', '1yNIb413Bmfs2ZBVuPp9kC', '5DD5GZd4ElmQTy9NleMvKJ', '7gvbCoLA8lJUktp8G2xIRR', '5sH4dr4r46Vm0Qu84PAYvk', '0Raaw7kr1Vzat4ZvHzjsJR', '3P4vW5tzQvmuoNaFQqzy9q', '3ajf12ub55b51qcS94d9Co', '2vnB6tuQMaQpORiRdvXF9H', '2G8UkPZnQ8i78L8TfqP1X6', '0NIPkIjTV8mB795yEIiPYL', '39EIRTZx1JjfeDLVdbj2ap']",20,"['lo-fi beats', 'lo-fi chill', 'sad lo-fi']"
4ZeB1hzT2mSZrf7wszOqHs,Mating Ritual,"['3cohAS2UQTaOo80kCn8qjT', '7FhRUp59cBzPaxobsRY1Nc', '2OK16hAFRHoJiFZKeZe8A8', '3wKj5PmSpnrtz9n9hG2QCA', '4YlhxCoA1qEgTHoOBaKu1t', '7tnWJfXaJmFO6vv5WFN2K0', '67Dg546QfThu4PuanvFD8y', '0oiS9wyrwFOAvNhYhP3udG', '5ApQnMT6oR8eLguf24xb9S', '32Ko3nL0210QAt14S3Rs4Y', '0m34JtkojthW5WYugFm0e3', '3pQXFWbvLit77NpvNmOo3k', '21MZoYDTcbPsC5crOQVqho', '1XyjBsbZBunXsYDTkaYtk9', '2Nvaq4y2ygxIqfwXyz0HeH', '5FE0B5zV9y7T5OzkiDkBG8', '0NTqSkdyIji6DuHVac7ROJ', '3IaqL9bsZtYJkqNLiovVho', '5vvvgOwPjA4R5t07ZXLLwZ', '5VsOThWOagH8C8gCvIy13k']",20,"['indie poptimism', 'modern alternative rock', 'shimmer pop', 'vapor soul']"
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,"['2kRfqPViCqYdSGhYSM9R0Q', '5p7f24Rk5HkUZsaS3BLG5F', '1Xylc3o4UrD53lo9CvFvVg', '1o2NpYGqHiCq7FoiYdyd1x', '3AVfmawzu83sp94QW7CEGm', '1QRj3hoop9Mv5VvHQkwPEp', '0uGk2czvcpWQA383Im6ajf', '7LImGq5KnzQobZciDJpeJb', '1l8Fu6IkuTP0U5QetQJ5Xt', '6sFHvCyqklnJpXC9Nh1aag', '2wUjUUtkb5lvLKcGKsKqsR', '1BhWF9W2PngtPSyobKg0rP', '5qa31A9HySw3T7MKWI9bGg', '6dn6x1XOng3LOAnfTjUn77', '3mPc8WGusz2XF3Tvs3AKCR', '6Dd3NScHWwnW6obMFbl1BH', '4JNfz6aO9ZFz0gp5GY88am', '188VINPQh5dyNfLUkevKqf', '5xkAtLTf309LAGZTbvULBn', '74KM79TiuVKeVCqs8QtB0B']",20,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
3nVeK8gQChVtVCCjGreal2,Tim Halperin,"['6z29S0IoiBJpSMP8plyCj7', '5zeCSgiRyezbfLiGOpKAsR', '7hbH1qupmU6HxVBjWJItlq', '6JVRYNneRsYNInT4TNr5vU', '2SqgsdjQfoeGLl8Zq2O5aE', '4NGiEU3Pkd8ASRyQR30jcA', '39x8gyJjTHiBQklFgVJSV4', '3bCmhyXqTr9ZNGlHNYNTFA', '2aIPQyKrN3oVev1kHudiai', '7oAskcd3mX9ZzxMPFHYqoN', '5Hc9oDGvStNGmnj44m8sHg', '4AapPt7H6bGH4i7chTulpI', '3J28FLi8jjXtUGWf69cP7I', '1BJ81QRILzVFcTt8fmqN9r', '17EpO9pUubOAhnTopBgQYR', '2PCUhxD40qlMqsKHjTZD2e', '2xotqeudHAi6eXva57U5nK', '4FCvYJ06Q8c4AScPG501KY', '4s6YWKUwngB7oxE6CPWsW2', '6TdfKQvrdHZdr4DIzjuWOr']",20,"['indiecoustica', 'neo mellow']"
0pwyD6DhbFWn8uVSz2Fr0w,The Summer Set,"['3kYFawNQVZ00FQbgs4rVBe', '7MRDkEKtdsGcYn11A4qgUL', '09J4zbHHwNNlN2tfgJIg21', '1IpSmgcN9F3KNa7j9JtAE4', '4frytKnOBrer4QVPWynGtX', '1NU9Em6e8dDo36Js6nEo3t', '0dJavJ67sIQ58Lodldmnev', '4o0pNHbyj36LPvukNqEug0', '4bQns2oAu4mwPsk3bmm7Jl', '2C2sVVXanbOpymYBMpsi89', '3LVtZP0UUtY35ptAnntYsT', '3ao3jf5d70Tf4fPh2bnXVl', '1BSXtdFlVDUOS6g1T3tmME', '0abIHznUj0oKhDB29cpBZ9', '7DS32FizWDYqYkzR7K8u9n', '6jTnHxhb6cDCaCu4rdvsQ0', '1hUu9kCZgPEnhpKQCB2Mts', '6wQMF27xWhSyJFnO9L5mQk', '7AsPubxWM5tfW4hTZEL3aP', '6we2CCxymhh4v30lZRhhpa']",20,"['neon pop punk', 'piano rock', 'pop emo', 'pop punk', 'pop rock', 'post-teen pop']"
3uwAm6vQy7kWPS2bciKWx9,girl in red,"['35l9BRT7MXmM8bv2WDQiyB', '0HthCchcL0kVLHTr113Vk1', '0ZUvK7zGdXLd78mQr3t1Tw', '2hR4h1Cao2ueuI7Cx9c7V8', '0NIPkIjTV8mB795yEIiPYL', '2G8UkPZnQ8i78L8TfqP1X6', '1vkWdqcabQ1swciXipkLBj', '3P4vW5tzQvmuoNaFQqzy9q', '2vnB6tuQMaQpORiRdvXF9H', '6rniTPs9zN26kYnkPdFl1U', '21TinSsF5ytwsfdyz5VSVS', '6P5NO5hzJbuOqSdyPB7SJM', '3l0CmX0FuQjFxr8SK7Vqag', '3u6lPufHw4Oww6D88rv6sB', '0qZyvjwZauLmrobrpJmvib', '12j6dJrPXanCBwY599pZxf', '0m5FakHKCQdA7UN0PIzMcL', '6zQlhM6cyJRrzuqAbB8PlB', '6beUvFUlKliUYJdLOXNj9C', '1yNIb413Bmfs2ZBVuPp9kC']",20,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']"
0nJaMZM8paoA5HEUTUXPqi,Bear's Den,"['0XHM5ZNJDU8e4CfbWMeSzC', '0lSENl3bteP8p2NbiSP7RM', '0z9hynUsIjf0ddI4uHqPWX', '7D5oTJSXSHf51auG0106CQ', '44M8i4BCwuBbmcQWwMaOfH', '78CiW0UJbHspFaVuVexOK6', '3Lw97gGh8bp1MftsYmwJHG', '7FDlvgcodNfC0IBdWevl4u', '6vUNwmljZAcn7tNtUoxG45', '3ccVtqcqedranb7y8eywJ5', '7zOuMHqRJ6YOMnCGpLfuTU', '5Smb3KB29epOb92Btsxulb', '0syIRg9MPSpJIC0QCPUaHB', '4bUqnkrDrb4f7rqmDR9yDu', '2XdtmipGVPmA62ptDgX8QC', '1slZr3FGlh153jH8xW6SNa', '1OVaGC0CDZaxjcPxclSNmp', '5Ld19xtpAR80G2boTcHaVx', '3x8FbPjh2Qz55XMdE2Yalj', '0j7wLGDwHdUSPLkxCH3GBQ']",20,"['folk-pop', 'indie folk', 'stomp and flutter', 'stomp and holler', 'uk americana']"
