id,name,neighbours,out_degree,genres
1kwzW1IszUiq4Gs9BFesvW,Hornet La Frappe,"['3dH7pcBScIJQboDyMzUzez', '2EFpb61Lpi0l5ldOiqbZkK', '4vtz0m60CCrcsQmqDunDIR', '2tcoLkA9Hexz70Kuc1NTUl', '3ABLHSKKZzNcgpBuXvLB9W', '6L34dW6SKMSDaGIfYDU19j', '04AIS3XqFcq2k8w3Tx4AmU', '53loJtHWjCG1TyKarW2mzk', '2ptKt4yP4mYRZmvi09JYyi', '6Te49r3A6f5BiIgBRxH7FH', '7rTPCNINGzMp3Hc8Xqht5Z', '2eh8cEKZk4VeruUrGq748D', '1FhFAnXsMLYJhRVBKvcdHU', '7CUFPNi1TU8RowpnFRSsZV', '2k8fAJK9HbH1FhqVpZL98P', '63MCBZRiUdnqRsAOJwijiB', '3p4FNslxuuEYSEnMsx4YI1', '76Pl0epAMXVXJspaSuz8im', '3BX2N7cc1OrBUJQiiei3On', '1rT9J8vtPCzEKL7oGntxnr']",20,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais']"
2EFpb61Lpi0l5ldOiqbZkK,Landy,"['3dH7pcBScIJQboDyMzUzez', '1kwzW1IszUiq4Gs9BFesvW', '2tcoLkA9Hexz70Kuc1NTUl', '3ABLHSKKZzNcgpBuXvLB9W', '3p4FNslxuuEYSEnMsx4YI1', '4vtz0m60CCrcsQmqDunDIR', '7CUFPNi1TU8RowpnFRSsZV', '1WDkNp8Duv9QhO246S4dDa', '6L34dW6SKMSDaGIfYDU19j', '63MCBZRiUdnqRsAOJwijiB', '2ptKt4yP4mYRZmvi09JYyi', '6ytOHdKh4xt4YvF7tz8Zcv', '3AGggQTwJaSofLcpDlYhV4', '53loJtHWjCG1TyKarW2mzk', '2eh8cEKZk4VeruUrGq748D', '74YbW6s8CZdaYLxJU9HeS7', '5olcgTzelGdyP1rHRLyWgs', '2z2TRvloJt4EfUNQp9rHAi', '1rT9J8vtPCzEKL7oGntxnr', '1PTl9q5EaEZejVGts7MBLN']",20,"['kentucky indie', 'kentucky roots', 'outlaw country']"
7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura,"['4sbXXFzEWJY2zsZjelerjX', '7x3eTVPlBiPjXHn3qotY86', '4eYnorQRhVHT2KBl2UyHHd', '4uJNQGa3L2frXDxwgouTIw', '4WnAHZz1pgl8hus8hidIRV', '0GgY7hjMoGDsX8ZDe2mwds', '6HhnhnxLsowYuuejvku0Bz', '2jFnPm8VeSO19i6B8blXB5', '1WDkNp8Duv9QhO246S4dDa', '46wEUZyujVrFSrdCnTKQmV', '6fYEeLBc96CguiLq9FPBQU', '6JLwyyc3LBwRXEODjugQ4D', '7lMgpN1tEBQKpRoUMKB8iw', '3AGggQTwJaSofLcpDlYhV4', '0Yj3N31EWXHc6e3eDyJPLP', '2LUi4eKMEFKFM4awgurcSs', '7CUFPNi1TU8RowpnFRSsZV', '7xNYY1Zkb1vks5m9ATlJok', '7kyIBL1EYouLqC8vw7IOui', '1GQ4ihUi4W36nt5ZKmtMgh']",20,"['basshall', 'francoton', 'pop urbaine']"
2UwqpfQtNuhBwviIC0f2ie,Damso,"['7rTPCNINGzMp3Hc8Xqht5Z', '0LnhY2fzptb0QEs5Q5gM7S', '20pbz4TbpkBUr5JwYfGgPS', '5gs4Sm2WQUkcGeikMcVHbh', '2tcoLkA9Hexz70Kuc1NTUl', '2kIs76sEGiulKeqetZq6ua', '3xEJ7cDz5rdg6VM8E6Mqhf', '1FhFAnXsMLYJhRVBKvcdHU', '6ytOHdKh4xt4YvF7tz8Zcv', '2kXKa3aAFngGz2P4GjG5w2', '6dbdXbyAWk2qx8Qttw0knR', '3bRGJQd7b4lE3ZAEMfOXJp', '54kCbQZaZWHnwwj9VP2hn4', '1cA379ILgR07m7XQVXyP6Q', '4LXBc13z5EWsc5N32bLxfH', '62zLrboqOTPyozwi721CVy', '7yeFMUrYTY5cAZx0GKXnti', '04AIS3XqFcq2k8w3Tx4AmU', '76Pl0epAMXVXJspaSuz8im', '25yJrwrn5I0EUdQEiTtNSO']",20,"['basshall', 'francoton', 'pop urbaine']"
0qO3t2MHM5NIEJ5fw9VndY,Benab,"['2BEMYnNYVY6FScCvRaw1J6', '1LYOKaB67uPrzpNMIk10k9', '0WzzOQ8n065ISKclSusFzY', '0OS83mLy4bVAE3tyNB5myI', '4Ahw76UVS2GoBsByIdRjQt', '0gGcw3tA1fZoF23qa8KFb7', '5hREZP0zTQbTLkZ2M8RS4v', '3ydKJWfVcxb3hOECejiAYi', '5RaQ9nmVGoTye2SI76x3yw', '3Ii7kCftek6SPKPEZx3GYE', '3Rz9ULXMl7mfhCCFNnhd5N', '2XyVj5qsjy87RPXk1O5if3', '0oeiA5U9u1U45Gos5cywUU', '11ajgggOI6hGjR8CF53mhG', '3jrZXTzqSuTBdfJeoSts1n', '5Ea2kDQeQNQrIcI6tCthaQ', '3tNQ0aWtzDKGwyWz2oOAFG', '4hYxvgmTzS29XAXlo5adgM', '40fhusTxvAWqq7xKB2rlgf', '6CSKMBCeQhddsPL63zvDhX']",20,"['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise']"
0mnNM5o7vtxo3ivC7Tmoah,Chily,"['2XpsF0ZQfBV08auUoRnNJE', '3igykO7sW43wfhSjvnETTo', '1i8gGjDzv2FNoy6dHcr25K', '3L774tiJRvPmAS90pOLB44', '1wlqglR1kdPF2T0Rxee11v', '4IAqcSIINRfPQC57mgYhW2', '2bbQRkTmEgKA1INGHeH7oT', '3S8r9fkqybCCXJLhZGA3r1', '2LUi4eKMEFKFM4awgurcSs', '1g6Hs3pSerBl61R9AKUeHr', '4LuLF5H9fe5ViyDQb9Zxmt', '58lWi9l7zeTHdUz6Glzm9p', '2xdTZfuOFh2ylOnnTEs5sg', '4hYxvgmTzS29XAXlo5adgM', '3fnfvu19t4JYyEkRldXsO5', '2UnQkf0SLOpeAUAiOGvwfq', '1pQtc9O0CKJYhvaICw39z9', '1enyZzjGFn1UNdk8EqeicI', '16vfg5F2MKku9FMIrFIqry', '34dSaKok3USBivMGTmIlXx']",20,['san diego rap']
2vCOfKQ7WFyWmuHbTz7OgG,Says'z,"['2nRoOg8iYwkrGiFnD8yYEM', '3mTLkUsH6xz7b0UjcNcVsN', '23u2dvae3e0f3caJSqdlN5', '3UQiIOEyYe25HoZzDo9e8T', '26zgIfFyTCImkHAp5gwKW8', '2uCRg5frmbfGvzlLRR0Pyi', '5un78gf3HzGs8Kgeoflgna', '45oFvHE9QZYC1vn5pVCDlu', '7a6TPrZH6MH6NFR0mlZLOg', '3XQLSTYyBneA9vzOEP9OSH', '6CSKMBCeQhddsPL63zvDhX', '1xAkr1syMoClC66pHMk2Eq', '7gU9VyFRN3JWPJ5oHOil60', '7HfJlmFUw8mkc0dWcy3sVn', '22HBKoiiXj1Klki0QDWcrr', '1wlqglR1kdPF2T0Rxee11v', '09FXva53dWku8Gu5N73rR8', '0DrzKyq66BJLP9V5IjiE4d', '2XyVj5qsjy87RPXk1O5if3', '2jFnPm8VeSO19i6B8blXB5']",20,"['francoton', 'musique comorienne', 'pop urbaine', 'shatta']"
3mTLkUsH6xz7b0UjcNcVsN,Driks,"['3XQLSTYyBneA9vzOEP9OSH', '2vCOfKQ7WFyWmuHbTz7OgG', '2nRoOg8iYwkrGiFnD8yYEM', '6CSKMBCeQhddsPL63zvDhX', '2uCRg5frmbfGvzlLRR0Pyi', '23u2dvae3e0f3caJSqdlN5', '26zgIfFyTCImkHAp5gwKW8', '45oFvHE9QZYC1vn5pVCDlu', '3UQiIOEyYe25HoZzDo9e8T', '0DrzKyq66BJLP9V5IjiE4d', '1xAkr1syMoClC66pHMk2Eq', '7a6TPrZH6MH6NFR0mlZLOg', '7gU9VyFRN3JWPJ5oHOil60', '5un78gf3HzGs8Kgeoflgna', '09FXva53dWku8Gu5N73rR8', '2XyVj5qsjy87RPXk1O5if3', '1wlqglR1kdPF2T0Rxee11v', '0WzzOQ8n065ISKclSusFzY', '3TG1RXLaEhHz5SIPMWahit', '22HBKoiiXj1Klki0QDWcrr']",20,"['francoton', 'pop urbaine']"
791x09Ix1mNc1hGhbD7IOW,Le classico organisé,"['19u3RGWKsjmbg9eI6zAiNp', '59PFMyNd41PhFTlrSQjyZ1', '6AmKZ6kQdFR64iIiUsRMHT', '3tNQ0aWtzDKGwyWz2oOAFG', '5Ea2kDQeQNQrIcI6tCthaQ', '5vnUF9uAL0ly7qw25ERLuC', '3BX2N7cc1OrBUJQiiei3On', '5RaQ9nmVGoTye2SI76x3yw', '4S19VrKiaA2usxsnqr5kA8', '2BEMYnNYVY6FScCvRaw1J6', '1LYOKaB67uPrzpNMIk10k9', '2k8fAJK9HbH1FhqVpZL98P', '74YbW6s8CZdaYLxJU9HeS7', '0WzzOQ8n065ISKclSusFzY', '2IoSLl3tqYMq9DzR0d6NJN', '0oeiA5U9u1U45Gos5cywUU', '0qO3t2MHM5NIEJ5fw9VndY', '3dH7pcBScIJQboDyMzUzez', '2eh8cEKZk4VeruUrGq748D', '1uS3NoifQsUXbWBOF3xIPg']",20,"['french hip hop', 'pop urbaine', 'rap francais']"
4eYnorQRhVHT2KBl2UyHHd,Vegedream,"['4uJNQGa3L2frXDxwgouTIw', '2jFnPm8VeSO19i6B8blXB5', '6fYEeLBc96CguiLq9FPBQU', '2LUi4eKMEFKFM4awgurcSs', '4sbXXFzEWJY2zsZjelerjX', '7x3eTVPlBiPjXHn3qotY86', '1WDkNp8Duv9QhO246S4dDa', '4WnAHZz1pgl8hus8hidIRV', '46wEUZyujVrFSrdCnTKQmV', '7IlRNXHjoOCgEAWN5qYksg', '6HhnhnxLsowYuuejvku0Bz', '7xNYY1Zkb1vks5m9ATlJok', '26zgIfFyTCImkHAp5gwKW8', '1GQ4ihUi4W36nt5ZKmtMgh', '0GgY7hjMoGDsX8ZDe2mwds', '3AGggQTwJaSofLcpDlYhV4', '2tcoLkA9Hexz70Kuc1NTUl', '7kyIBL1EYouLqC8vw7IOui', '3xEJ7cDz5rdg6VM8E6Mqhf', '3ABLHSKKZzNcgpBuXvLB9W']",20,"['francoton', 'french hip hop', 'pop urbaine']"
