id,name,neighbours,out_degree,genres
1gRNBaI4yn6wCCTvRhGWh8,Don McLean,"['6kEsKkXuE4olX7m3mNLZkS', '1R6Hx1tJ2VOUyodEpC12xM', '42q4Ivs7tAiCZ5C7eG5q4c', '6yrBBtqX2gKCHCrZOYBDrB', '0cA5Tg15TwARIRZeiNT1RO', '23rleGXVOVVgTk3xgtmfE4', '4FtSnMlCVxCswABUmdhwpm', '0vn7UBvSQECKJm2817Yf1P', '08F3Y3SctIlsOEmKd6dnH8', '70ZTdbPEcEugBNay4MvxfL', '7EK1bQADBoqbYXnT4Cqv9w', '6jdObwsrIjSRnBbMw6lPBj', '319yZVtYM9MBGqmSQnMyY6', '35U9lQaRWSQISxQAB94Meo', '5yzE49FicYiSxN61oaxkNn', '0DW7boyjvbaSP3OJ72sXgC', '7emRV8AluG3d4e5T0DZiK9', '4HVmeVTQBgvTuvjB1JYwaf', '5lkiCO9UQ8B23dZ1o0UV4m', '2pdvghEHZJtgSXZ7cvNLou']",20,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
39T6qqI0jDtSWWioX8eGJz,The Doobie Brothers,"['3HC7NcxQx2Yk0fWoRKJ0xF', '6QtGlUje9TIkLrgPZrESuk', '6clbbhnIqpHnqxwtOWcilg', '5bDxAyJiTYBat1YnFJhvEK', '4FAEZeJcsYYBkNq2D3KGTV', '0J2Ej2rMQyqaUX3G6MUISw', '0WgyCbru4tXnMsbTmX4mFw', '6P7H3ai06vU1sGvdpBwDmE', '46njgd2Rq9tZc4ZjeQMgbh', '0543y7yrvny4KymoaneT4W', '3iDD7bnsjL9J4fO298r0L0', '5dbuFbrHa1SJlQhQX9OUJ2', '35U9lQaRWSQISxQAB94Meo', '69Mj3u4FTUrpyeGNSIaU6F', '59QxeZBL6k9L4oJBGSyukd', '1tfXh4XxILEuMU2qZupFn8', '5q4AzEtCoYJyXjMMoEkSU5', '4Tw2N3wdvJPGEU7JqMxFfE', '7emRV8AluG3d4e5T0DZiK9', '6jdObwsrIjSRnBbMw6lPBj']",20,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
5dbuFbrHa1SJlQhQX9OUJ2,Don Henley,"['3vMWY1bUrmYoSoEWLiQWOZ', '5gxynDEKwNDgxGJmJjZyte', '4Tw2N3wdvJPGEU7JqMxFfE', '2iM28IgKg89v1o7BTQAVPo', '7A9yZMTrFZcgEWAX2kBfK6', '3lPQ2Fk5JOwGWAF3ORFCqH', '5lkiCO9UQ8B23dZ1o0UV4m', '3HC7NcxQx2Yk0fWoRKJ0xF', '6clbbhnIqpHnqxwtOWcilg', '3zXw2Eh96iTT51pytzHdZi', '6IFXsrXBpwbIqtOUOiAa3p', '55vs7NT1KxcFjbMC4y202E', '69Mj3u4FTUrpyeGNSIaU6F', '5bDxAyJiTYBat1YnFJhvEK', '2CLVPk9FcywjClBcTvWPkT', '39T6qqI0jDtSWWioX8eGJz', '46njgd2Rq9tZc4ZjeQMgbh', '1tfXh4XxILEuMU2qZupFn8', '7Bah8E0kCETqEpAHI6CPzQ', '3iDD7bnsjL9J4fO298r0L0']",20,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
2hO4YtXUFJiUYS2uYFvHNK,Traveling Wilburys,"['6DbJi8AcN5ANdtvJcwBSw8', '24Wa5wIZIo1sPkzVGP0B5p', '7FIoB5PHdrMZVC3q2HE5MS', '4tX2TplrkIP4v05BNC903e', '3bTAaMx9nf237AkBnGw3vL', '0543y7yrvny4KymoaneT4W', '3mY9Ii0cL5SQxpOTAm8SHx', '2xLqrYZxa9GYSCVn0STgxV', '5bDxAyJiTYBat1YnFJhvEK', '5ujCegv1BRbEPTCwQqFk6t', '4pJCawaKSZ40EnxN0YEYw3', '69Mj3u4FTUrpyeGNSIaU6F', '3Dzj993UEz8Z5ovxuirzFO', '3v4feUQnU3VEUqFrjmtekL', '2pdvghEHZJtgSXZ7cvNLou', '2UZMlIwnkgAEDBsw1Rejkn', '2rc78XDH9zuJP6bm78lU8Z', '5BcZ22XONcRoLhTbZRuME1', '1CD77o9fbdyQFrHnUPUEsF', '3sFhA6G1N0gG1pszb6kk1m']",20,"['album rock', 'art rock', 'beatlesque', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'supergroup']"
5lkiCO9UQ8B23dZ1o0UV4m,Jackson Browne,"['2pdvghEHZJtgSXZ7cvNLou', '0vn7UBvSQECKJm2817Yf1P', '5dbuFbrHa1SJlQhQX9OUJ2', '0fyqyjD7pbaVzbu94ylWQR', '7emRV8AluG3d4e5T0DZiK9', '3mY9Ii0cL5SQxpOTAm8SHx', '1R6Hx1tJ2VOUyodEpC12xM', '0cA5Tg15TwARIRZeiNT1RO', '23rleGXVOVVgTk3xgtmfE4', '1MXwwmS2JpmsHZhdMeOL2s', '46njgd2Rq9tZc4ZjeQMgbh', '2DWQX92uew7DlsgN0yD775', '2iM28IgKg89v1o7BTQAVPo', '5gxynDEKwNDgxGJmJjZyte', '44NX2ffIYHr6D4n7RaZF7A', '6clbbhnIqpHnqxwtOWcilg', '6jdObwsrIjSRnBbMw6lPBj', '35U9lQaRWSQISxQAB94Meo', '3HC7NcxQx2Yk0fWoRKJ0xF', '6r1Xmz7YUD4z0VRUoGm8XN']",20,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
6mcrZQmgzFGRWf7C0SObou,Frankie Valli & The Four Seasons,"['3CDKmzJu6uwEGnPLLZffpD', '4b0WsB47XCa9F83BmwQ7WX', '05sIdEkXAYDbDDdv3T56Oj', '2loYllWFfoWpoxC5YrJKc4', '0DAqhikcMKLo2lPADVz2fs', '4GITZM5LCR2KcdlgEOrNLD', '0x83OBqixqdCHnStP5VMcn', '5N6GwJzOcOY5kv8p0NjhYL', '4asCC4oxQcDzFXhCth2SgQ', '15FyiY3ChN0QRspHIQYq0W', '0Ma8KxtvoIDSU5fHtuTS9F', '0XTxadWXVyfB8eTIYOjMYj', '1FqqOl9itIUpXr4jZPIVoT', '01hRNr3yF5bYnPq4wZ88iI', '0pqGj6vO9YHsXuZmaJaP2Y', '33QmoCkSqADuQEtMCysYLh', '5X3TuTi9OIsJXMGxPwTKM2', '3ap1NzHNV9QA1x1V6z3gSe', '7qQJQ3YtcGlqaLg5tcypN2', '5MX2l6ewjOaeWn1lYNhzlO']",20,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'northern soul', 'rock-and-roll']"
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,"['4tX2TplrkIP4v05BNC903e', '3lPQ2Fk5JOwGWAF3ORFCqH', '2xLqrYZxa9GYSCVn0STgxV', '2hO4YtXUFJiUYS2uYFvHNK', '6QtGlUje9TIkLrgPZrESuk', '5dbuFbrHa1SJlQhQX9OUJ2', '5bDxAyJiTYBat1YnFJhvEK', '485uL27bPomh29R4JmQehQ', '69Mj3u4FTUrpyeGNSIaU6F', '5lkiCO9UQ8B23dZ1o0UV4m', '3mY9Ii0cL5SQxpOTAm8SHx', '4Tw2N3wdvJPGEU7JqMxFfE', '4vpDg7Y7fU982Ds30zawDA', '3pHeBYl1yujXcZqqfF1UyQ', '5krkohEVJYw0qoB5VWwxaC', '39T6qqI0jDtSWWioX8eGJz', '5q4AzEtCoYJyXjMMoEkSU5', '6DCIj8jNaNpBz8e5oKFPtp', '0jJNGWrpjGIHUdTTJiIYeB', '5gxynDEKwNDgxGJmJjZyte']",20,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']"
1LB8qB5BPb3MHQrfkvifXU,Cheap Trick,"['1hXjTjJzZTXDZ75AclOo6N', '3Fz2GbraVXhcpXnoi2Oe1r', '0Nn9YwJzcaeuU1jJL06e3r', '34jw2BbxjoYalTp8cJFCPv', '1Ha0Fz4i0d4gu5fZbhBCtH', '29kkCKKGXheHuoO829FxWK', '69Mj3u4FTUrpyeGNSIaU6F', '4YfnJEbTz8QLD5FusYFwV6', '2CLVPk9FcywjClBcTvWPkT', '4Tw2N3wdvJPGEU7JqMxFfE', '6x33CmZWo2Ve4hxYl2Craq', '6DCIj8jNaNpBz8e5oKFPtp', '4salDzkGmfycRqNUbyBphh', '5q4AzEtCoYJyXjMMoEkSU5', '1JHzh1ETQTMoFb2CgncnTL', '3zXw2Eh96iTT51pytzHdZi', '6z7wrwE2QW7Keb9ozoF0rg', '6IFXsrXBpwbIqtOUOiAa3p', '3daM7asS0gCFvyLemNx2EE', '55vs7NT1KxcFjbMC4y202E']",20,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'power pop', 'rock', 'soft rock']"
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,"['3CkvROUTQ6nRi9yQOcsB50', '0nCiidE5GgDrc5kWN3NZgZ', '7ai5TWiOG8g9Hds5AATS28', '4vs7NIU7kZc2Efh6yOGKEZ', '7AC976RDJzL2asmZuz7qil', '40DqL6Tv84cKT2pH2NMs9r', '3lHXm91pKLq9Sxi6CoRKWu', '2m62cc253Xvd9qYQ8d2X3d', '5gxynDEKwNDgxGJmJjZyte', '2yTUYhIf8fxptTIy3KLuJD', '5gS1uXayWA0WJPgcRqNIae', '6bQfVk5fSJSp3JtGiQZGNI', '6KOqPxwfNAmZPkiCnDE9yT', '3fhOTtm0LBJ3Ojn4hIljLo', '2FcC4sDMXme2ziI7tGKMK8', '5BcZ22XONcRoLhTbZRuME1', '5RNFFojXkPRmlJZIwXeKQC', '1bdytLV3FPjyhfrb6BhMej', '6w6z8m4WXX7Tub4Rb6Lu7R', '2utNxkLhreF1oIfO8kQT3q']",20,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']"
3mC1KCuZZSOlN8Z0M56VsV,Dobie Gray,"['4FSD5qtm70EBsOiLMN2eEe', '7Emrl5SyjpneJuRdHqBKRN', '0CMVsLgjlp9Tk02TikMAQK', '0hF0PwB04hnXfYMiZWfJzy', '1B8AXU6gIIafpyLEpbcv1u', '10TSIJnyUcowWhpjj59gHB', '69g2TelswPN1IiFDKvaoSL', '2ugPdplEWBmyU6EcIzlcY1', '4Yg38CnYMoN09sMLf6KDdW', '0MponVSpW81oLvJZ53vYZH', '72Q7helEnjOptf8FAoZQTi', '1rHh0AI30JhKrbzKIFjFNd', '5vWhw0XzIKRr5YUsYB2w3m', '7onp6ew3LGoQImTt1I78gt', '7fIvjotigTGWqjIz6EP1i4', '1Pe5hlKMCTULjosqZ6KanP', '4VnomLtKTm9Ahe1tZfmZju', '1kupwLFpHALpmhp5qol8xH', '3rRmDmzPcAFwcUDvG5gBqO', '2RwV62DIxFGEn8aWO3iaMM']",20,['northern soul']
