id,name,neighbours,out_degree,genres
2VSHKHBTiXWplO8lxcnUC9,GAYLE,"['6oWOHAOyBUn6aJlKIPJK9r', '1qMJAm3nqZq6AsqeaAk2m1', '64EHXDoln95lnccszdPum0', '4LOM7NzyrZvlGSYPFDsnTk', '2cAXhrWAztXGwk6r15ibW2', '4S38gbKfKkEbty2YAIDIlV', '1JhiIIXT9DWqEU3BYFZwGA', '1PlWf6idMAz65Luiq6aOY9', '3QJUFtGBGL05vo0kCJZsmT', '0K87f3owemzI8NUCoEIXOB', '5C2iFRY2UldL2hv9THw4aB', '5LGo1zHegJTWzqVXgeNplt', '5sBBS3CQNPDzmuTJjYwnpa', '5aHlyw2WWqZW0HLICBuv7U', '6xd3ACm5Dgf2Znj8abDUrd', '3DKkhRCGOG4e8IUPYFPfWs', '1294QqYm1VuxxjRiL9M0h9', '6DdbeAeBlrYj8bNToZv4TY', '5MjcGshMggPgIHinIUDaX0', '7DQYAz99eM3Y5PkP9WtUew']",20,['modern alternative pop']
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,"['0RpddSzUHfncUWNJXKOsjy', '3NPpFNZtSTHheNBaWC82rB', '4njdEjTnLfcGImKZu1iSrz', '4j56EQDQu5XnL7R3E9iFJT', '3kVUvbeRdcrqQ3oHk5hPdx', '7gP3bB2nilZXLfPHJhMdvc', '0Raaw7kr1Vzat4ZvHzjsJR', '3QaxveoTiMetZCMp1sftiu', '7sOR7gk6XUlGnxj3p9F54k', '4AcHt3JxKy59IX7JNNlZn4', '20JZFwl6HVl6yg8a4H3ZqK', '0MlOPi3zIDMVrfA9R04Fe3', '1FgsVeOhRYuSw2ghkIXV0A', '1dWEYMPtNmvSVaDNLgB6NV', '6DIS6PRrLS3wbnZsf7vYic', '4ZgQDCtRqZlhLswVS6MHN4', '6s22t5Y3prQHyaHWUN1R1C', '06bDwgCHeMAwhgI8il4Y5k', '2HOMW1liAxI3URnEq95SMS', '0hAd6zwEgt9ILuMDY1prcI']",20,"['modern rock', 'rock']"
0VJIBKdqJygrupAxpSTk7q,Shaka Ponk,"['3oaj9AlMadVi3FkChhwFAz', '4bhynkwu2d1ZbjPTNBkI2t', '7k8b9tyD9a0WEoPgidHrGK', '3xYWXsDjB4Kfl6EY2hibO3', '2nsGWZA0LtO7istBNsyNTE', '7qiRNP9z0FhN63YcLmb8Ai', '5IiWXFMbz2luGGkdzSBNhJ', '2yQBgACksUJgNKh1JWPWPe', '30oV84oJ6PpIzrJFpVBlM6', '4ni1VfqTNIvsJKTDuiN64f', '4Zdj4TMYyTqmh6ppJDLwgF', '4JPtvdV0f0CWOKhCIsF8qO', '4ksCwAPgMi8rkQwwR3nMos', '5O2FUMAWxdTikjoCBAXrNI', '03X1ph7ZGfqb3W3Ld5lJKH', '5RJtcUSgNu7Y3X9YmZDci9', '2FDsdMev4pzIXwoJGXi9zf', '4ZP3CHz28XWVLGiaVVWuLj', '4CAsSAU842glNKJX71ndA9', '6UWiE4V9p2HK4C74A0CGKB']",20,['french rock']
6ogn9necmbUdCppmNnGOdi,Alanis Morissette,"['0dlOr0VIysztGWvU1dpjmP', '6FbDoZnMBTdhhhLuJBOOqP', '4TKTii6gnOnUXQHyuo9JaD', '2mpeljBig2IXLXRAFO9AAs', '1KsASRNugxU85T0u6zSg32', '1VbWUxZTRNY2gw3qZ1tg9W', '0cQbJU1aAzvbEmTuljWLlF', '4NgNsOXSwIzXlUIJcpnNUp', '7t0rwkOPGlDPEhaOcVtOt9', '1tqZaCwM57UFKjWoYwMLrw', '73JEBdDEFeVaOLg3y0HhBD', '5rScKX1Sh1U67meeUyTGwk', '6S0GHTqz5sxK5f9HtLXn9q', '5zzrJD2jXrE9dZ1AklRFcL', '08DLZqQd6XDAVteF9nSEJ1', '0lJlKQvuM2Sd9DPPyUXcHg', '01Ppu7N8uYJI8SAONo2YZA', '3g2kUQ6tHLLbmkV7T4GPtL', '4sD9znwiVFx9cgRPZ42aQ1', '5MspMQqdVbdwP6ax3GXqum']",20,"['canadian pop', 'canadian singer-songwriter', 'lilith', 'pop rock', 'singer-songwriter']"
5LfGQac0EIXyAN8aUwmNAQ,The Offspring,"['6SiyKSeJo6gcsS2NvuAbsl', '6i0KVTOvm96T55mbp742ks', '6nDLku5uL3ou60kvCGZorh', '0qT79UgT5tY4yudH9VfsdT', '7sVQKNtdP2NylxMgbNOJMM', '2yJwXpWAQOOl5XFzbCxLs9', '4S2yOnmsWW97dT87yVoaSZ', '30sqtiTKIb1oDve0SdYayT', '74xFFXkvOq9dPDigOWTHiX', '7oPftvlwr6VrsViSDV7fJY', '6Wr3hh341P84m3EI8qdn9O', '0cOVRC8EOwDwXrs3JTrRN5', '19I4tYiChJoxEO5EuviXpz', '16nn7kCHPWIB6uK09GQCNI', '6xTk3EK5T9UzudENVvu9YB', '08yf5A2nS4XEeNvabDXqyg', '5aYyPjAsLj7UzANzdupwnS', '1cSpfa4Un4NCOzeOKgGtG9', '3ExT45ORJ8pT516HRZbr7G', '5ND0mGcL9SKSjWIjPd0xIb']",20,"['alternative metal', 'permanent wave', 'punk', 'rock', 'skate punk', 'socal pop punk']"
12Chz98pHFMPJEknJQMWvI,Muse,"['0XNa1vTidXlvJ2gHSsRi4A', '6RZUqkomCmb8zCRqc9eznB', '6e9wIFWhBPHLE9bXK8gtBI', '11wRdbnoYqRddKBrpHt4Ue', '0LbLWjaweRbO4FDKYlbfNt', '0C0XlULifJtAgn6ZNCW2eu', '6ssXMmc5EOUrauZxirM910', '3WaJSfKnzc65VDgmj2zU8B', '4DToQR3aKrHQSSRzSz8Nzt', '53A0W3U0s8diEn9RhXQhVz', '4wo1267SJuUfHgasdlfNfc', '4F84IBURUo98rz4r61KF70', '3M4ThdJR28z9eSMcQHAZ5G', '4pejUc4iciQfgdX6OKulQn', '7vkiEK5D7Gf0z4M1Va0CXD', '3yEnArbNHyTCwMRvD9SBy4', '7MhMgCo0Bl0Kukl93PZbYS', '3bUwxJgNakzYKkqAVgZLlh', '2Z7UcsdweVlRbAk5wH5fsf', '0epOFNiUfyON9EYx7Tpr6V']",20,"['puerto rican pop', 'trap latino']"
0hAd6zwEgt9ILuMDY1prcI,Palaye Royale,"['4UhExRgMW9QR7oNmTI2lPG', '3T55D3LMiygE9eSKFpiAye', '2kO6mP0olFJGGh6kvUdNC8', '0Raaw7kr1Vzat4ZvHzjsJR', '4OTFxPi5CtWyj1NThDe6z5', '6VTvaLJ9arNmKi8e1ekOwW', '2LiLNsS5rRWmnOSQM5F8Zz', '6VsU92soWFLtVsSP65rkrN', '5fRpvt0RU5UL6YwQekpofE', '75CziSb5bEWIj1m8TdMwYy', '1YznSk5tLLp9BnzuNgghrZ', '31M8EXHYtEqOqVb1X7JRVe', '4hwJwkgsufeilLXS1ZfJqq', '4YZ5ECfbM2xSTSQTJGBbO5', '29TCgxO6qzQx4O3pjUIMzn', '4aN7T7NNFFMRJgVbRPne8q', '1Tdg7NIdyWx9icE2GNZzxk', '5r9uIJCoquVtEkCkvcn8Ez', '7zMX8eYQIBl7dpVXNt0ooU', '3QaxveoTiMetZCMp1sftiu']",20,"['modern alternative rock', 'modern rock', 'rock', 'vegas indie']"
6VsU92soWFLtVsSP65rkrN,The Faim,"['2kO6mP0olFJGGh6kvUdNC8', '3T55D3LMiygE9eSKFpiAye', '6g878dtAhjegRHVe5X0ALf', '2LiLNsS5rRWmnOSQM5F8Zz', '5k8vZsGwQ2AlHNfsne055D', '4UhExRgMW9QR7oNmTI2lPG', '1Tdg7NIdyWx9icE2GNZzxk', '4OTFxPi5CtWyj1NThDe6z5', '4hwJwkgsufeilLXS1ZfJqq', '5fRpvt0RU5UL6YwQekpofE', '4aN7T7NNFFMRJgVbRPne8q', '1YznSk5tLLp9BnzuNgghrZ', '0hAd6zwEgt9ILuMDY1prcI', '1wLFDPkWkMl7bNZvhmhxsG', '5ApQnMT6oR8eLguf24xb9S', '4PjHNisXpQqSDXOJBFRK8p', '7ymrIsmp4vE7vAtcS12J4D', '1rwaNYO0jV0TYiZm4SQTOe', '5tFRohaO5yEsuJxmMnlCO9', '3XSZyY300hJOLVc9KQLlee']",20,[]
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"['7n2wHs1TKAczGzO7Dd2rGr', '4IWBUUAFIplrNtaOHcJPRM', '0B3N0ZINFWvizfa8bKiz4v', '2wY79sveU1sp5g7SokKOiI', '6VuMaDnrHyPL1p4EHjYLi7', '5p7f24Rk5HkUZsaS3BLG5F', '6ydoSd3N2mwgwBHtF6K7eX', '5pUo3fmmHT8bhCyHE52hA6', '1Hsdzj7Dlq2I7tHP7501T4', '4GNC7GD6oZMSxPGyXy4MNB', '7gAppWoH7pcYmphCVTXkzs', '1uNFoZAHBGtllmzznpCI3s', '2wUjUUtkb5lvLKcGKsKqsR', '4EzkuveR9pLvDVFNx6foYD', '6T5tfhQCknKG4UnH90qGnz', '4nDoRrQiYLoBzwC5BhVJzF', '6JL8zeS1NmiOftqZTRgdTz', '4kYGAK2zu9EAomwj3hXkXy', '7DMveApC7UnC2NPfPvlHSU', '5ZsFI1h6hIdQRw2ti0hz81']",20,"['dance pop', 'pop', 'post-teen pop']"
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,"['3xYXYzm9H3RzyQgBrYwIcx', '2v7wIbCkIzxOfT3GnqCexD', '13ZEDW6vyBF12HYcZRr4EV', '39NR3AUhpbbqKM33vWn2fp', '69B1gu9EjC0rNb59YYNVPM', '26C2AjqgMr5aDzj6Yp2ORz', '5yhxqYI0JBwUKfXpSEjiM8', '2t2XKfWKLXpFIjFwy1K8wx', '2IvkS5MXK0vPGnwyJsrEyV', '3vDpQbGnzRbRVirXlfQagB', '2QMsj4XJ7ne2hojxt6v5eb', '31z9f9AyPawiq0qlBO1M3i', '56x8mYvS3cyDGAi8N2FxbB', '30e8DmahrEamvLbFRPdWmk', '2hJPr4lk7Q8SSvCVBl9fWM', '4MoAOfV4ROWofLG3a3hhBN', '29ijED2bnnprp2TciAK1aO', '6yHM0XQEdu9sIlbILMaKBp', '1YSA4byX5AL1zoTsSTlB03', '3CygdxquGHurS7f9LjNLkv']",20,"['contemporary country', 'outlaw country']"
