id,name,neighbours,out_degree,genres
1u7OVFmWah4wQhOPIbUb8U,Will Sparks,"['52VqIv9iDcmGRrg9tzsEF0', '2Z4QqhmV5Xw5vX2ZI70HOR', '484iMOSUagn2RPaer9vl9e', '6rwY8ZI8aCpwbmBZJmQGjt', '1Lh1hOYSwejAH8yWS9M3tF', '3wt86cCNbyR6RP9pr7j7yd', '5bAzAcxTJ2msgAJB8uJmi5', '2uv4ZSlhcTHm5O3noRoMRt', '405mwWiGupCLKtW56WYWuW', '2k6FiPBKN4TzVqXHs9FTZE', '5sGnaeEurnVcLg609iTzxS', '721fd03yZGR8KnjLmZuCe4', '3WidLZ58DQjM525pYif1VW', '0FeGKUiRS1wZf7dxFirYwh', '2qYZ0i6NpoJ4nv5AiwXsV6', '4I6NT4aWtBnuXYowQv7sQ0', '7h73LPe0xTu8v3QPt3qm7w', '3Rr1Vx3lro8cxDD6OFnYkJ', '1TlTz1l8LzQ7AiXjBO77Ep', '3F7BvWnzIvaqd6UW2JxNtd']",20,"['big room', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance']"
1lJhME1ZpzsEa5M0wW6Mso,Charlotte de Witte,"['5Ho1vKl1Uz8bJlk4vbmvmf', '7mC3RkNNTV6p2j9w4F8Ip4', '59a1Bp0JQfL2mGnpL0lW2Y', '3wkaDi2HJV3eCaBJ4iH6om', '1u7DsNFbakULvxnDGtMm90', '44Ga1YqZthFOzZSTHiNWkC', '5Hini2nQyoglzpdKe41cZt', '0KqSULB80ft2H3aFg6kJmN', '1btv9qmIpbp7q1ixCYNdHu', '7KkV7dFoGEXr4M3fpb1FgD', '7sJ3ngSMvvXGdVLnODPqXa', '2jop7P9uKGHVtQAv59lDxT', '2OpUrUeIF1sqWHwSbMPNkB', '144HzhpLjcR9k37w5Ico9B', '6OQOvP7RAdmAKVXXQqD0Se', '21444lX8gpmOX36icLmbFI', '2UzAShzs3DO53bSZqvf8Ri', '03tes5RhEvH2dX2eDeGnRn', '4eFbq5PZgW7YbtA65PP4wS', '50ZyjIaVHOy5Xt7FLJ7RZl']",20,"['belgian techno', 'electra']"
2Xy6YLSsHR6TdBUFm5bnLR,Push,"['5suoHSdDiYsjikHNVdYYKe', '1JKDQ9CDwfLKUrhO6KYaki', '2D507sfeGL9YBBsF5P2XcG', '1DT2WEMQmEJ3yRmTaqzrXd', '2ZpwFriFFPaGFC4qYQQJ1i', '10feV0eOe64kjUc95Lnfuv', '1eQe86RbDKRIiGZk08r9YJ', '24xpaWFyBOwoB8lBBolWzv', '2NCerM6sPl0bsa2XzOKrTY', '0sElgscu7tp38PM1MtsUz7', '20IiZT2AHU5GwnzncwJX6S', '1RYDKWzJnJtbTPYNsDswD5', '3UJW5QFKMNUAE4rcW3j9WZ', '513hutOhfryax7g1N0XHEk', '4WrJFQnID7vIIA3LZzkhcO', '23oHaHBR00xqOi75kTcQwq', '3R3fc4fBMzzmJoSrRgVdKe', '1PfOXooPSLQhOTNZGrXM90', '190nhOwQKuDEOv7YKOgnzq', '4YmbYhAP7GdWZ5ehBTtDW4']",20,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
59a1Bp0JQfL2mGnpL0lW2Y,Joyhauser,"['44Ga1YqZthFOzZSTHiNWkC', '7mC3RkNNTV6p2j9w4F8Ip4', '3wkaDi2HJV3eCaBJ4iH6om', '1lJhME1ZpzsEa5M0wW6Mso', '4gGD7nrLZRnnCSz3KGEu4R', '1u7DsNFbakULvxnDGtMm90', '2jop7P9uKGHVtQAv59lDxT', '5Ho1vKl1Uz8bJlk4vbmvmf', '5Hini2nQyoglzpdKe41cZt', '2OpUrUeIF1sqWHwSbMPNkB', '2UzAShzs3DO53bSZqvf8Ri', '5FgLkieOqGXPn01dnbJp9Z', '7KkV7dFoGEXr4M3fpb1FgD', '5Xf60FmqlNrVHBkCbgH7SO', '5BFl4h5TXYSSJsCteTX3s1', '58zZkWGb6qvx0AJ6L3ttlZ', '1jV311C5ADuBqCPpprsjUp', '6rxmj7vNEofe96g84qMWoV', '5L56gAwU2WofuHHOpLC0BU', '1btv9qmIpbp7q1ixCYNdHu']",20,"['belgian dance', 'bubble trance', 'trance']"
56e9JiuPAOzwsOa8TDe3xj,Clap Codex,"['7qciaYUulPvR4k8KMc4OTX', '7dOFFyV8UVZqmapj8yUDRT', '7FnPG0rhevatoL8aTx9Ag7', '6wfL4r7ReScDTARbtSRTvB', '679xKCdF1dBRH0gGgZfcCC', '1oa3TW4eYVXbvX0Ur9VxYp', '02Xwu1VHleFBI3MZ73qyyz', '2jvTYwyzxK1FVYGEoKfZLQ', '1DgZ9kWEsYktFBYml3iK8S', '5VMXbzLVkLd4Cq4rBzx4T3', '7hvD2Cs8fbF3HvhQCmV3xq', '2qmoexIy9YzYFb0xmjzh4N', '11jBSslmTEkEGXxpFfy91F', '5BSvQ8klrDFPpCJ3TujFoK', '5bwTl3iyhj2j9hXlMTAZzM', '7xcEuNcEPzlYUuAKyqfJMS', '4QK6kc57qNZNCb8DZ68tOr', '1uXPBtacqfqOZ0mRI97M5e', '6rxmj7vNEofe96g84qMWoV', '5BFl4h5TXYSSJsCteTX3s1']",20,[]
2qmoexIy9YzYFb0xmjzh4N,Julien Riess,"['7qciaYUulPvR4k8KMc4OTX', '56e9JiuPAOzwsOa8TDe3xj', '6z1x6oaKpp9ZeXOaJczjIm', '6wfL4r7ReScDTARbtSRTvB', '1oa3TW4eYVXbvX0Ur9VxYp', '02Xwu1VHleFBI3MZ73qyyz', '679xKCdF1dBRH0gGgZfcCC', '7dOFFyV8UVZqmapj8yUDRT', '2jvTYwyzxK1FVYGEoKfZLQ', '6bQjjM7IF0eLgxjiJHwhOt', '7xcEuNcEPzlYUuAKyqfJMS', '5VMXbzLVkLd4Cq4rBzx4T3', '3pY489HHP3Em5RAy63Vmf9', '5bwTl3iyhj2j9hXlMTAZzM', '11jBSslmTEkEGXxpFfy91F', '7FnPG0rhevatoL8aTx9Ag7', '1DgZ9kWEsYktFBYml3iK8S', '1rV7LSzJ2ZzL3FicYplmLX', '0M9vCRnHAMGWUi9i89LLeh', '4TQYtWb6zxq4NDkjTPhb63']",20,[]
1npPQS3PDH4xmOhYxB2L0T,Warp Brothers,"['1RSKoT6hnzaLjvL0LCF0ew', '7AUMoJOQDvEYXHBFNCJhAb', '6vdgAccr11YvDg9pEj6gOZ', '76TM3QXivQvlLmZxdYxMZr', '6ncUTZAXal93c05AUvr94d', '7ulta4AVH43iWAIh2rhWve', '2j9KNQNo5B2mQ1isoa0eIe', '4Pl9qnKpdOFI90QWXQtP7q', '2Qa4UBwzhEFt1Tpj95cZls', '3qH1Byt7BkZ6wo4VKUESDG', '0frSMmZSEdr8pVRi8PBSwF', '0LhHRmSd1EYM5QdNeNnCoQ', '76JqkTKxRVKBFabbPiB8g6', '3TIwO626zK0xsBnxhn5foV', '4YmbYhAP7GdWZ5ehBTtDW4', '11lfQgLbVZRnR7tbtAnzhk', '2E4lzxgBnCEqLawsXeRKWp', '5a2Kj8Jq5yZV1GxUKqCRdK', '0k7JerPSj4tpf6p7UMF0Yo', '190nhOwQKuDEOv7YKOgnzq']",20,"['bubble trance', 'german techno']"
7qciaYUulPvR4k8KMc4OTX,Sabura,"['56e9JiuPAOzwsOa8TDe3xj', '7hvD2Cs8fbF3HvhQCmV3xq', '61wk9TBvF9sUK5QBhf59yv', '5BSvQ8klrDFPpCJ3TujFoK', '2qmoexIy9YzYFb0xmjzh4N', '7FnPG0rhevatoL8aTx9Ag7', '1uXPBtacqfqOZ0mRI97M5e', '241pFB691BbwHqZJgBQSr5', '7dOFFyV8UVZqmapj8yUDRT', '4QK6kc57qNZNCb8DZ68tOr', '5ewUkGPAlemelWBjKkh9jn', '02Xwu1VHleFBI3MZ73qyyz', '5qDGSxaXhV70uArLcGFhk1', '6cH1l5gG8IZhzMUa1Pg7n9', '0g2hONkPFY1FbTjSYMwXC6', '1oa3TW4eYVXbvX0Ur9VxYp', '7ffYTOTu3Z0t4a2A7515cL', '2dbxPQ9Ri4dvE6tuLp1jOu', '3OJRTRa3n7nDzGh50SATdQ', '6wfL4r7ReScDTARbtSRTvB']",20,[]
7t6VUymL8RQKVqKQW9VTLl,A.D.H.S.,"['7KkV7dFoGEXr4M3fpb1FgD', '13SB6LyYpsdN2QPEqpYS9l', '679xKCdF1dBRH0gGgZfcCC', '5BFl4h5TXYSSJsCteTX3s1', '5bwTl3iyhj2j9hXlMTAZzM', '1rV7LSzJ2ZzL3FicYplmLX', '2jvTYwyzxK1FVYGEoKfZLQ', '4h8IEOdrg60WM5XGyNOCVU', '7xcEuNcEPzlYUuAKyqfJMS', '7dOFFyV8UVZqmapj8yUDRT', '6EW0HjkWKFehOQ42At5dtb', '5VMXbzLVkLd4Cq4rBzx4T3', '2OpUrUeIF1sqWHwSbMPNkB', '1DgZ9kWEsYktFBYml3iK8S', '7FnPG0rhevatoL8aTx9Ag7', '6rxmj7vNEofe96g84qMWoV', '02Xwu1VHleFBI3MZ73qyyz', '3SEw2qamdOWyVZtzKxWTTg', '6TVdVlY6irsNPkMHT2HkfD', '56e9JiuPAOzwsOa8TDe3xj']",20,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
2lPXenWgbh51R950CMdk6i,Kaiserdisco,"['5BFl4h5TXYSSJsCteTX3s1', '70fblQG7yXBks1Uy8bmf33', '6KBbbE4QVlVQwFNIXrD8hF', '51NwQz5MA32kigUGYjdA3z', '6iWBjg4b4ll4jLiParnWXT', '4dCGOzY3HL7dZnQ8XU7DDD', '7ixDtqtITfqx5lZQGh5gKe', '04jj7dljPI0ixtNsz2pXWK', '3m5g6NUg2akZ9Vv9D8GYBf', '3C046bLxNmvBQyaucinAhf', '5L56gAwU2WofuHHOpLC0BU', '2UzAShzs3DO53bSZqvf8Ri', '2jop7P9uKGHVtQAv59lDxT', '5RwXcpTt7Fr8S8yG3Tbr9b', '7KkV7dFoGEXr4M3fpb1FgD', '6OQOvP7RAdmAKVXXQqD0Se', '4ipS3ZbqP46bs124yqp9N4', '16LyZ7r3rzPJqljgvz0fvq', '1mUVjZFnDM8mHpi4fR2bPC', '7mC3RkNNTV6p2j9w4F8Ip4']",20,"['deep minimal techno', 'german tech house', 'hamburg electronic', 'minimal techno', 'tech house']"
